table,collection,basis
cfq_ruiz_2025_dass,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
chen_2022_gad,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
CV_OASIS_ODSIS_PPE_Novak_2020_DSES,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
CV_OASIS_ODSIS_PPE_Novak_2020_PANAS,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
dass_Thiyagarajan2022,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
depression_anxiety_stress,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
ehealth_rioux_2025_gad,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
erf_breuer_2017_tai,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
evpromisi_stone_2021_ddedanx,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
FACIT_YOUNT_2021_hadsx,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
fcv19s_hossain_2022_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
florida_twins_behavior_rcads,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
gad_BrummerHoffman_2021,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
gilbert_meta_92,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
grit_BrummerHoffman_2021,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
hads_multilcirt,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
hannachi_2025_eco_anxiety_cas,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
hannachi_2025_eco_anxiety_heas,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
idas_machado2024,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
jablonska_2020_hads,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
jeilani_2024_social_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
jovanovic_2026_conscientiousness_dass_d,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
MEFSIRODGAS_Nileksela_2023_freq,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
MEFSIRODGAS_Nileksela_2023_severity,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
mental_health_wang_2024_phq,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
mhscdc_fried_2020_dass,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
narcissism_schneider_2025_study2_idasii,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
neurodegenerative_huizinga_2019_dass,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
oxfordcovid_xue_2024_gad,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
oxfordcovid_xue_2024_pas,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
pass20_klosowska_2025_csq_online,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
pass20_klosowska_2025_dass_online,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
pass20_klosowska_2025_pass_online,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
pass20_klosowska_2025_staix_online,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
phq_BrummerHoffman_2021,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
promis_BrummerHoffman_2021,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
promis1wave1_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
psychtools_sai,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
rodas_2026_stait_trait_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
SCS_Suh_2023_SCS,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
SCS_Suh_2023_SIAPS,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
smpi_lorenzoluaces_2020_gad7,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
SPQVS_Barnby_2017_SIAS,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
suicide_reinbergs_2025_gad,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
SV-MAIA2_Randelovic_2021_DASS,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
tma,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
ucla_BrummerHoffman_2021,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
uti_newlands_2023_gad,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
wang_onlineriskexp_2025_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
wemwbs_BrummerHoffman_2021,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
wesselmann_2018_state_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
wesselmann_2018_trait_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
whodas_BrummerHoffman_2021,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
wolf_2017_study1_anxiety,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
wolf_2017_study2_anxiety_post,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
wolf_2017_study2_anxiety_pre,anxiety,rule:cname:anxiet|\bgad.?7\b|\bstai\b
alsyouf_2024_agreeableness,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
alsyouf_2024_conscientiousness,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
alsyouf_2024_extraversion,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
alsyouf_2024_neuroticism,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
alsyouf_2024_openness,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
amatus_cipora_2024_bfi_n,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
autism_blotner_2025_s2_ffmi,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
bfi_goldberg_1992_agreeableness,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
bfi_goldberg_1992_conscientiousness,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
bfi_goldberg_1992_extraversion,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
bfi_goldberg_1992_neuroticism,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
bfi_goldberg_1992_openness_to_experience,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
bfi2_zhang_2025,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
c19prc_uk_mcbride_2021_bfi10,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
CV_OASIS_ODSIS_PPE_Novak_2020_BFI,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ffm_AGR,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ffm_CSN,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ffm_EST,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ffm_EXT,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ffm_OPN,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
genpsych_russell_2024_gemma,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
genpsych_russell_2024_gpt3_5,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
genpsych_russell_2024_gpt4o,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
genpsych_russell_2024_llama3,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
genpsych_russell_2024_mixtral,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
gerard_2018_metatraits,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
heekerens2025_bfi_extraversion,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
heekerens2025_bfi_neuroticism,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
heekerens2025_bfi_openness,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
hexaco_ashton_2014_a,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
hexaco_ashton_2014_c,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
hexaco_ashton_2014_e,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
hexaco_ashton_2014_h,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
hexaco_ashton_2014_o,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
hexaco_ashton_2014_x,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
hexaco_silvia_2025,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
hyatt_2023_aggression_neo,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ipip_openpsychometrics_ad,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ipip_openpsychometrics_as,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ipip_openpsychometrics_do,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ipip_openpsychometrics_sc,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
jovanovic_2026_conscientiousness_bfi,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
morgan_2026_music_personality_bfi,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
NAMPRB_Siwiak_2024_NEOFFI,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
narcissism_schneider_2025_study2_bfi,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
narcissism_schneider_2025_study2_ffni,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
offlinefriend_bigfive,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
oxfordcovid_xue_2024_bfi,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
personalitychange_kramer_2025_bfi,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
psychtools_bfi,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
qi_2025_big_five,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
RvKDCS_Romiacg_Miroshnik_2020_BFI,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
SABFI2_Gallardo_Pujol_2018_BFI,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
SABFI2_Gallardo_Pujol_2018_Honest,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
sd3ypl_klimczak_2019_bfq,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
socialstereotype_hughes_2025_personality_other,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
socialstereotype_hughes_2025_personality_self,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
sun_2025_morality_study1_fairnessHEXACO,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
sun_2025_morality_study3_fairnessHEXACO,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
SV-MAIA2_Randelovic_2021_hexaco100,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
SV-MAIA2_Randelovic_2021_hexaco60,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
teq_novak_2021_bfin,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
vermeiren_2022_bfi,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
west_2021_aggnet_bfi2_agg_neu,big_five,rule:cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco
ftna_kasper_2022,clustered,rule:var:cluster_id
gilbert_meta_1,clustered,rule:var:cluster_id
gilbert_meta_10,clustered,rule:var:cluster_id
gilbert_meta_100,clustered,rule:var:cluster_id
gilbert_meta_102,clustered,rule:var:cluster_id
gilbert_meta_103,clustered,rule:var:cluster_id
gilbert_meta_104,clustered,rule:var:cluster_id
gilbert_meta_105,clustered,rule:var:cluster_id
gilbert_meta_106,clustered,rule:var:cluster_id
gilbert_meta_107,clustered,rule:var:cluster_id
gilbert_meta_109,clustered,rule:var:cluster_id
gilbert_meta_11,clustered,rule:var:cluster_id
gilbert_meta_110,clustered,rule:var:cluster_id
gilbert_meta_111,clustered,rule:var:cluster_id
gilbert_meta_112,clustered,rule:var:cluster_id
gilbert_meta_113,clustered,rule:var:cluster_id
gilbert_meta_12,clustered,rule:var:cluster_id
gilbert_meta_13,clustered,rule:var:cluster_id
gilbert_meta_14,clustered,rule:var:cluster_id
gilbert_meta_15,clustered,rule:var:cluster_id
gilbert_meta_16,clustered,rule:var:cluster_id
gilbert_meta_17,clustered,rule:var:cluster_id
gilbert_meta_18,clustered,rule:var:cluster_id
gilbert_meta_19,clustered,rule:var:cluster_id
gilbert_meta_2,clustered,rule:var:cluster_id
gilbert_meta_21,clustered,rule:var:cluster_id
gilbert_meta_22,clustered,rule:var:cluster_id
gilbert_meta_23,clustered,rule:var:cluster_id
gilbert_meta_24,clustered,rule:var:cluster_id
gilbert_meta_25,clustered,rule:var:cluster_id
gilbert_meta_26,clustered,rule:var:cluster_id
gilbert_meta_29,clustered,rule:var:cluster_id
gilbert_meta_30,clustered,rule:var:cluster_id
gilbert_meta_31,clustered,rule:var:cluster_id
gilbert_meta_32,clustered,rule:var:cluster_id
gilbert_meta_34,clustered,rule:var:cluster_id
gilbert_meta_35,clustered,rule:var:cluster_id
gilbert_meta_36,clustered,rule:var:cluster_id
gilbert_meta_39,clustered,rule:var:cluster_id
gilbert_meta_40,clustered,rule:var:cluster_id
gilbert_meta_41,clustered,rule:var:cluster_id
gilbert_meta_42,clustered,rule:var:cluster_id
gilbert_meta_43,clustered,rule:var:cluster_id
gilbert_meta_46,clustered,rule:var:cluster_id
gilbert_meta_47,clustered,rule:var:cluster_id
gilbert_meta_48,clustered,rule:var:cluster_id
gilbert_meta_49,clustered,rule:var:cluster_id
gilbert_meta_5,clustered,rule:var:cluster_id
gilbert_meta_50,clustered,rule:var:cluster_id
gilbert_meta_51,clustered,rule:var:cluster_id
gilbert_meta_52,clustered,rule:var:cluster_id
gilbert_meta_55,clustered,rule:var:cluster_id
gilbert_meta_56,clustered,rule:var:cluster_id
gilbert_meta_57,clustered,rule:var:cluster_id
gilbert_meta_58,clustered,rule:var:cluster_id
gilbert_meta_59,clustered,rule:var:cluster_id
gilbert_meta_6,clustered,rule:var:cluster_id
gilbert_meta_62,clustered,rule:var:cluster_id
gilbert_meta_63,clustered,rule:var:cluster_id
gilbert_meta_64,clustered,rule:var:cluster_id
gilbert_meta_65,clustered,rule:var:cluster_id
gilbert_meta_66,clustered,rule:var:cluster_id
gilbert_meta_67,clustered,rule:var:cluster_id
gilbert_meta_68,clustered,rule:var:cluster_id
gilbert_meta_69,clustered,rule:var:cluster_id
gilbert_meta_7,clustered,rule:var:cluster_id
gilbert_meta_70,clustered,rule:var:cluster_id
gilbert_meta_71,clustered,rule:var:cluster_id
gilbert_meta_72,clustered,rule:var:cluster_id
gilbert_meta_73,clustered,rule:var:cluster_id
gilbert_meta_74,clustered,rule:var:cluster_id
gilbert_meta_76,clustered,rule:var:cluster_id
gilbert_meta_77,clustered,rule:var:cluster_id
gilbert_meta_78,clustered,rule:var:cluster_id
gilbert_meta_79,clustered,rule:var:cluster_id
gilbert_meta_8,clustered,rule:var:cluster_id
gilbert_meta_80,clustered,rule:var:cluster_id
gilbert_meta_81,clustered,rule:var:cluster_id
gilbert_meta_82,clustered,rule:var:cluster_id
gilbert_meta_9,clustered,rule:var:cluster_id
gilbert_meta_99,clustered,rule:var:cluster_id
ai_fear_dong_2026_ai,continuous_response,curated:scout
ai_fear_dong_2026_other_fear,continuous_response,curated:scout
ai_fear_dong_2026_own_fear,continuous_response,curated:scout
ai_fear_dong_2026_requirement,continuous_response,curated:scout
climatechange_geiger_2025,continuous_response,curated:bd
cognitive_load_klimova_2023_know,continuous_response,curated:scout
emoji_scheffler_2024,continuous_response,curated:scout
figure_skating,continuous_response,curated:scout
klippel_irw,continuous_response,curated:bd
lsbq_maleki_2025_non_persian_proficiency,continuous_response,curated:scout
much_tte_2025_currentmotivation,continuous_response,curated:bd
nas_rogoza_2024_study5_nas,continuous_response,curated:bd
nas_rogoza_2024_study5_ngs,continuous_response,curated:bd
nas_rogoza_2024_study5_nvs,continuous_response,curated:bd
opentsstvr_linnig_2025_vas,continuous_response,curated:bd
tears,continuous_response,curated:bd
test_taking_much_2025_cm,continuous_response,curated:bd
westhoff2023_pbat,continuous_response,curated:bd
westhoff2023_stopd,continuous_response,curated:bd
alsuhibani_2022_npi_s3,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
autism_blotner_2025_s1_tactics,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
autism_blotner_2025_s1_views,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
autism_blotner_2025_s2_ffmi,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
dinic_2025_shortdarktriad,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
eammi_grahe_2018_npi,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
hyatt_2023_aggression_prelim2_epa,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
hyatt_2023_aggression_s3_srp4,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
lessR_Mach4,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
machivallianism_test_vcl,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissism_schneider_2025_study1_jauk_hsns,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissism_schneider_2025_study1_jauk_npi,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissism_schneider_2025_study1_koeberl_hsns,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissism_schneider_2025_study1_morf_hsns,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissism_schneider_2025_study2_ffni,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissism_schneider_2025_study2_hsns,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissism_schneider_2025_study2_narq,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissism_schneider_2025_study2_npi,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissism_schneider_2025_study2_pni,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
narcissistic_personality_inventory,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
NARQing,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
nas_rogoza_2024_study1,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
nas_rogoza_2024_study2_ngs,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
nas_rogoza_2024_study2_nvs,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
nas_rogoza_2024_study5_nas,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
nas_rogoza_2024_study5_ngs,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
nas_rogoza_2024_study5_nvs,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
pechorro_impulsivity_2021_ypitris,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
qi_2025_dark_triad,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
SABFI2_Gallardo_Pujol_2018_Narq,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
sadism_west_2026_srp,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
sd3ypl_klimczak_2019_sd3,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
short_dark_triad,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
west_2021_retaliatory_aggression_study3_sd3_psychopathy,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
west_2022_psychnet_pclsv,dark_triad,rule:cname:dark triad|machiavell|narciss|psychopath
assessment_time_fournier_2025_phq,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
audit_BrummerHoffman_2021,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
bang_2023_depression,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
bitew_2020_phq9,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
buzgova_2023_gds,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
c19prc_uk_mcbride_2021_icd_depression,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
c19prc_uk_mcbride_2021_phq9,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
ccapsvtskhpacr_mercedes_2023_beck,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
ccapsvtskhpacr_mercedes_2023_hada,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
cfq_ruiz_2025_dass,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
chen_2022_cesd,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
COACH_Chen_2022_SNS,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
CV_OASIS_ODSIS_PPE_Novak_2020_DSES,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
CV_OASIS_ODSIS_PPE_Novak_2020_PANAS,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
dass_Thiyagarajan2022,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
