table,irw_version,date,change,issue,replaces,replaced_by
pass20_klosowska_2025_dass_online,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
pass20_klosowska_2025_staix_online,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
PEMAIW_Qiu_2020_BWSS,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
PEMAIW_Qiu_2020_DASS,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
PEMAIW_Qiu_2020_FFMQ,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
PEMAIW_Qiu_2020_MEQ,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
PEMAIW_Qiu_2020_MLQ,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
PEMAIW_Qiu_2020_PANAS,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
PEMAIW_Qiu_2020_SWLS,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
PROMISPME_Forrest_2021_Family_Children,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
PROMISPME_Forrest_2021_Family_Proxy,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
PROMISPME_Forrest_2021_LS_Children,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
PROMISPME_Forrest_2021_MP_Children,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
PROMISPME_Forrest_2021_Physical_Children,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
PROMISPME_Forrest_2021_Strength_Children,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
RD_EppSCQRK_Kipkemoi_2024_scq,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
smacof_pvq40,333,2026-09-03,Exact duplicate `id`+`item` rows removed.,#1842,,
sris_silvia2022,333,2026-09-03,"Different respondents shared an `id` across samples; `id` now prefixed with the sample label, which is also kept as a column.",#1842,,
teq_novak_2021_scbs,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
teq_novak_2021_spirit,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
teq_novak_2021_teq,333,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
anunciacao_2025_emotional_management,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
anunciacao_2025_emotional_relationships,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
anunciacao_2025_emotional_responsibility,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
anunciacao_2025_emotional_self-awareness,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
ehealth_rioux_2025_abiliti,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
ehealth_rioux_2025_beam,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
ehealth_rioux_2025_gad,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
ehealth_rioux_2025_mssps,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
ehealth_rioux_2025_pci,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
ehealth_rioux_2025_phq,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
ehealth_rioux_2025_rse,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
ehealth_rioux_2025_rses,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
ehealth_rioux_2025_triplep,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
prpt_hellmann_2021_achievementmotive,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
prpt_hellmann_2021_conscientiousness,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
prpt_hellmann_2021_fearofcrime,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
prpt_hellmann_2021_realisticthreat,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
prpt_hellmann_2021_selfesteem,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
prpt_hellmann_2021_threat,334,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
acunamora_2018_gypes,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
alkouri_2025_coping,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
alkouri_2025_icu_stressors,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
gomez_2022_qcae,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
hellstrom_2019_isi,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
hellstrom_2019_psqi,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
hellstrom_2019_pss14,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
hellstrom_2019_sci,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
weida_2020_financial_security,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
yang_2025_aiccs,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
yang_2025_intercultural_contact,335,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
li_2024_bdyz,336,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
li_2024_fa,336,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
li_2024_sad,336,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
li_2024_spa,336,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
turpochaparro_2026_family_communication,336,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
turpochaparro_2026_self_esteem,336,2026-09-03,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
anunciacao_2025_emotional_social-awareness,339,2026-09-04,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
narcissism_schneider_2025_study1_koeberl_hsns,339,2026-09-04,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
kotsou_2016_bdi,340,2026-09-04,`cov_age` was a free-text date of birth; parsed to age in years.,#1779,,
kotsou_2016_happiness,340,2026-09-04,`cov_age` was a free-text date of birth; parsed to age in years.,#1779,,
kotsou_2016_life_satisfaction,340,2026-09-04,`cov_age` was a free-text date of birth; parsed to age in years.,#1779,,
kotsou_2016_panas,340,2026-09-04,`cov_age` was a free-text date of birth; parsed to age in years.,#1779,,
kotsou_2016_plc,340,2026-09-04,`cov_age` was a free-text date of birth; parsed to age in years.,#1779,,
kotsou_2016_scs,340,2026-09-04,`cov_age` was a free-text date of birth; parsed to age in years.,#1779,,
turpochaparro_2026_social_network_addiction,340,2026-09-04,"Out-of-range `cov_age` values (outside 0-120, e.g. missing-value codes such as 999) set to missing.",#1779,,
bfi_goldberg_1992_agreeableness,345,2026-09-05,"`cov_age` held birth years, not ages; set to missing because the collection year is not known precisely enough to convert.",#1779,,
bfi_goldberg_1992_conscientiousness,345,2026-09-05,"`cov_age` held birth years, not ages; set to missing because the collection year is not known precisely enough to convert.",#1779,,
bfi_goldberg_1992_extraversion,345,2026-09-05,"`cov_age` held birth years, not ages; set to missing because the collection year is not known precisely enough to convert.",#1779,,
bfi_goldberg_1992_neuroticism,345,2026-09-05,"`cov_age` held birth years, not ages; set to missing because the collection year is not known precisely enough to convert.",#1779,,
bfi_goldberg_1992_openness_to_experience,345,2026-09-05,"`cov_age` held birth years, not ages; set to missing because the collection year is not known precisely enough to convert.",#1779,,
gilbert_meta_31,345,2026-09-05,"`cov_age` was recorded in months; converted to years, with 0 set to missing.",#1779,,
KTEEM_Schoen_2019-2022,345,2026-09-05,Repeated `id`+`item` rows were separate waves with no column saying so; the wave column is restored.,#1842,,
motion,345,2026-09-05,Repeated `id`+`item` rows were real repeated trials with no column saying so; the trial/occasion column is restored.,#1842,,
project_kids_ctopp,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_kbit,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_ak_wave,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_ap,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_lwid_grade,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_lwid_wave,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_mf,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_pc_grade,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_pc_wave,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_pv_grade,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_pv_wave,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_sa,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_spell_grade,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_spell_wave,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_wa_grade,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_wa_wave,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
project_kids_wj_wf,345,2026-09-05,"Missing values had been written as the literal string ""NA"", making `treat` (and, in `project_kids_kbit`, `wave`) text columns with ""NA"" as a level; now true missing values.",#416,,
ravens_deboeck2012,345,2026-09-05,Repeated `id`+`item` rows were separate waves with no column saying so; the wave column is restored.,#1842,,
rr98_accuracy,345,2026-09-05,Repeated `id`+`item` rows were real repeated trials with no column saying so; the trial/occasion column is restored.,#1842,,
esiason_2024_aaqii,347,2026-09-05,"AAQ-II responses had been truncated to 1-5, removing three respondents; restored to 1-7 (352 to 389 rows). `cov_group` (caregiver/patient) had been transposed; corrected.",#1971,,
esiason_2024_ace,347,2026-09-05,`cov_group` (caregiver/patient) had been transposed across respondents; corrected.,#1971,,
esiason_2024_bai,347,2026-09-05,`cov_group` (caregiver/patient) had been transposed across respondents; corrected.,#1971,,
esiason_2024_bdi,347,2026-09-05,`cov_group` (caregiver/patient) had been transposed across respondents; corrected.,#1971,,
esiason_2024_cfq,347,2026-09-05,`cov_group` (caregiver/patient) had been transposed across respondents; corrected.,#1971,,
esiason_2024_vlq_consistency,347,2026-09-05,`cov_group` (caregiver/patient) had been transposed across respondents; corrected.,#1971,,
esiason_2024_vlq_importance,347,2026-09-05,`cov_group` (caregiver/patient) had been transposed across respondents; corrected.,#1971,,
neurips_2020,354,2026-09-06,"Rebuilt: two unrelated id spaces had been merged and `resp` mixed correctness with the option chosen; 616,871 responses removed by an earlier dedup restored. Tasks 3-4 moved to their own table.",#1875,,neurips_2020_task34
oxfordcovid_xue_2024_at,354,2026-09-06,"Eight hours-per-day questions, not scale items, removed (179,937 to 136,467 rows).",#1996,,
pisa2018_gc,355,2026-09-06,"Credit recode had set already-scored 1s and 2s to 0, leaving 271 items constant; rebuilt from the OECD source so `resp` is 0/1/2.",#1342,,
pisa2018_math,355,2026-09-06,"Credit recode had set already-scored 1s and 2s to 0, leaving 271 items constant; rebuilt from the OECD source so `resp` is 0/1/2.",#1342,,
pisa2018_read,355,2026-09-06,"Credit recode had set already-scored 1s and 2s to 0, leaving 271 items constant; rebuilt from the OECD source so `resp` is 0/1/2.",#1342,,
pisa2018_science,355,2026-09-06,"Credit recode had set already-scored 1s and 2s to 0, leaving 271 items constant; rebuilt from the OECD source so `resp` is 0/1/2.",#1342,,
pisa2022_math,355,2026-09-06,"Credit recode had set already-scored 1s and 2s to 0, leaving 271 items constant; rebuilt from the OECD source so `resp` is 0/1/2. 1,816 rows added.",#1342,,
pisa2022_read,355,2026-09-06,"Credit recode had set already-scored 1s and 2s to 0, leaving 271 items constant; rebuilt from the OECD source so `resp` is 0/1/2.",#1342,,
pisa2022_science,355,2026-09-06,"Credit recode had set already-scored 1s and 2s to 0, leaving 271 items constant; rebuilt from the OECD source so `resp` is 0/1/2.",#1342,,
5personalityfactors,360,2026-09-08,"Duplicate `id`+`item` rows removed, and rows where different respondents shared an `id` repaired against the source.",#1842,,
Aspirations_Sonmez_2022,360,2026-09-08,"Duplicate `id`+`item` rows removed, and rows where different respondents shared an `id` repaired against the source.",#1842,,
COACH_Chen_2022_IADL,360,2026-09-08,65 responses above their item's maximum removed.,#1924,,
DART_Brysbaert_2020_3_4_5,360,2026-09-08,"The same author name was coded two ways (space vs underscore); merged, 264 to 158 items.",#2052,,
fullscaleiq_memory,360,2026-09-08,"Column `raw_resp` renamed `resp_raw`, the standard name.",#2094,,
fullscaleiq_mentalrotation,360,2026-09-08,"Column `raw_resp` renamed `resp_raw`, the standard name.",#2094,,
fullscaleiq_vocab,360,2026-09-08,"Column `raw_resp` renamed `resp_raw`, the standard name.",#2094,,
much_tte_2025_concentrationtask,360,2026-09-08,"Column `raw_resp` renamed `resp_raw`, the standard name.",#2094,,
much_tte_2025_matrixreasoning,360,2026-09-08,"Column `raw_resp` renamed `resp_raw`, the standard name.",#2094,,
PEPABAS2C_Kubicka_2024,360,2026-09-08,"Duplicate `id`+`item` rows removed, and rows where different respondents shared an `id` repaired against the source.",#1842,,
PTCI_Chinese_Zhan_2024,360,2026-09-08,"Duplicate `id`+`item` rows removed, and rows where different respondents shared an `id` repaired against the source.",#1842,,
SAS_Deters_2022,360,2026-09-08,"Duplicate `id`+`item` rows removed, and rows where different respondents shared an `id` repaired against the source.",#1842,,
Veterans_Affairs_SSVF_Survey_2018-20,360,2026-09-08,"Items 54-56 were empty source columns published as all-missing; removed (1,475,369 to 1,396,328 rows).",#2029,,
western_reserve_project,360,2026-09-08,"202 wave-4 items with no informative responses, which a broken filter had let through, removed (1,445,422 to 1,388,458 rows).",#2029,,
debacker_2018_decisionjustification,363,2026-09-09,"24 rows with `resp` = 0, not a point on the scale, removed.",#1952,,
debacker_2018_justice_appraisal,363,2026-09-09,"74 rows with `resp` = 0, not a point on the scale, removed.",#1952,,
donati_2021_cfq7,363,2026-09-09,`cov_population` labels had been swapped (clinical vs non-clinical); corrected.,#1964,,
enkavi_2019_stopsignal,363,2026-09-09,"Column `itemcov_delay` renamed `itemcov_ss_frequency`, which is what it holds.",#1969,,
extremera_2016_sbq,363,2026-09-09,Two rows with an out-of-range `resp` of 0 removed.,#1973,,
DART_Brysbaert_2020_3_4_5,367,2026-09-10,"Study 5: 62 `Susan_Smith` responses recovered and the `Geronimo_Stilton` item dropped (28,908 to 28,846 rows).",#2093,,
enem_2013_1mil_ch,367,2026-09-10,Absent candidates had been scored as all wrong (about 45% of the sample); they are now excluded using inep's presence flag. `resp_raw` added.,#1942,,
enem_2013_1mil_cn,367,2026-09-10,Absent candidates had been scored as all wrong (about 45% of the sample); they are now excluded using inep's presence flag. `resp_raw` added.,#1942,,
enem_2013_1mil_lc,367,2026-09-10,Absent candidates had been scored as all wrong (about 45% of the sample); they are now excluded using inep's presence flag. `resp_raw` added.,#1942,,
enem_2013_1mil_mt,367,2026-09-10,Absent candidates had been scored as all wrong (about 45% of the sample); they are now excluded using inep's presence flag. `resp_raw` added.,#1942,,
