table,instrument_pattern,ruling,source
dpt_noncog__grit,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
dudasova_2021_engagement,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
enkavi_2019_dpx_axcpt,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
esiason_2024_vlq_consistency,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
esiason_2024_vlq_importance,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
experimental_iq,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
face_memory_test,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
galgam_2025_whoqol_bref,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
icar_sapa,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
neurips_2020,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
neurips_2022,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
silva_2018_whoqol,,Blocked in extraction queue (rights or determinate block); fail-closed,extraction_batches/queue_state.csv
