irw_version	irw_released_at	dataset	redivis_tag	redivis_released_at	precision	redivis_released_before
73	2025-01-29T17:57:33Z	irw_meta	v1.2	2025-01-29T17:57:33Z	exact	
74	2025-01-29T18:21:45Z	item_response_warehouse	v21.1	2025-01-29T17:40:04Z	bracketed	2025-02-01T14:57:34Z
74	2025-01-29T18:21:45Z	irw_meta	v2.0	2025-01-29T18:21:45Z	exact	
75	2025-02-01T14:57:34Z	item_response_warehouse	v22.0	2025-02-01T14:57:34Z	bracketed	2025-02-03T18:16:23Z
75	2025-02-01T14:57:34Z	irw_meta	v2.0	2025-01-29T18:21:45Z	exact	
76	2025-02-03T18:16:23Z	item_response_warehouse	v23.0	2025-02-03T18:16:23Z	bracketed	2025-02-03T18:48:06Z
76	2025-02-03T18:16:23Z	irw_meta	v2.0	2025-01-29T18:21:45Z	exact	
77	2025-02-03T18:48:06Z	item_response_warehouse	v23.1	2025-02-03T18:48:06Z	bracketed	2025-02-04T02:07:00Z
77	2025-02-03T18:48:06Z	irw_meta	v2.0	2025-01-29T18:21:45Z	exact	
78	2025-02-03T21:51:32Z	item_response_warehouse	v23.1	2025-02-03T18:48:06Z	bracketed	2025-02-04T02:07:00Z
78	2025-02-03T21:51:32Z	irw_meta	v2.1	2025-02-03T21:51:32Z	exact	
79	2025-02-04T02:07:00Z	item_response_warehouse	v24.0	2025-02-04T02:07:00Z	bracketed	2025-02-10T22:34:38Z
79	2025-02-04T02:07:00Z	irw_meta	v2.1	2025-02-03T21:51:32Z	exact	
80	2025-02-08T02:10:05Z	item_response_warehouse	v24.0	2025-02-04T02:07:00Z	bracketed	2025-02-10T22:34:38Z
80	2025-02-08T02:10:05Z	irw_meta	v2.2	2025-02-08T02:10:05Z	exact	
81	2025-02-10T18:58:52Z	item_response_warehouse	v24.0	2025-02-04T02:07:00Z	bracketed	2025-02-10T22:34:38Z
81	2025-02-10T18:58:52Z	irw_meta	v2.3	2025-02-10T18:58:52Z	exact	
82	2025-02-10T22:34:38Z	item_response_warehouse	v24.1	2025-02-10T22:34:38Z	bracketed	2025-02-17T22:05:58Z
82	2025-02-10T22:34:38Z	irw_meta	v2.3	2025-02-10T18:58:52Z	exact	
83	2025-02-10T22:56:50Z	item_response_warehouse	v24.1	2025-02-10T22:34:38Z	bracketed	2025-02-17T22:05:58Z
83	2025-02-10T22:56:50Z	irw_meta	v3.0	2025-02-10T22:56:50Z	exact	
84	2025-02-12T21:29:13Z	item_response_warehouse	v24.1	2025-02-10T22:34:38Z	bracketed	2025-02-17T22:05:58Z
84	2025-02-12T21:29:13Z	irw_meta	v3.1	2025-02-12T21:29:13Z	exact	
85	2025-02-13T00:03:30Z	item_response_warehouse	v24.1	2025-02-10T22:34:38Z	bracketed	2025-02-17T22:05:58Z
85	2025-02-13T00:03:30Z	irw_meta	v4.0	2025-02-13T00:03:30Z	exact	
86	2025-02-14T00:37:01Z	item_response_warehouse	v24.1	2025-02-10T22:34:38Z	bracketed	2025-02-17T22:05:58Z
86	2025-02-14T00:37:01Z	irw_meta	v4.1	2025-02-14T00:37:01Z	exact	
87	2025-02-14T01:07:06Z	item_response_warehouse	v24.1	2025-02-10T22:34:38Z	bracketed	2025-02-17T22:05:58Z
87	2025-02-14T01:07:06Z	irw_meta	v4.2	2025-02-14T01:07:06Z	exact	
88	2025-02-14T01:11:20Z	item_response_warehouse	v24.1	2025-02-10T22:34:38Z	bracketed	2025-02-17T22:05:58Z
88	2025-02-14T01:11:20Z	irw_meta	v5.0	2025-02-14T01:11:20Z	exact	
89	2025-02-17T16:25:50Z	item_response_warehouse	v24.1	2025-02-10T22:34:38Z	bracketed	2025-02-17T22:05:58Z
89	2025-02-17T16:25:50Z	irw_meta	v5.1	2025-02-17T16:25:50Z	exact	
90	2025-02-17T20:27:54Z	item_response_warehouse	v24.1	2025-02-10T22:34:38Z	bracketed	2025-02-17T22:05:58Z
90	2025-02-17T20:27:54Z	irw_meta	v5.2	2025-02-17T20:27:54Z	exact	
91	2025-02-17T22:05:58Z	item_response_warehouse	v24.2	2025-02-17T22:05:58Z	bracketed	2025-02-18T00:24:24Z
91	2025-02-17T22:05:58Z	irw_meta	v5.2	2025-02-17T20:27:54Z	exact	
92	2025-02-17T22:44:27Z	item_response_warehouse	v24.2	2025-02-17T22:05:58Z	bracketed	2025-02-18T00:24:24Z
92	2025-02-17T22:44:27Z	irw_meta	v5.3	2025-02-17T22:44:27Z	exact	
93	2025-02-17T23:15:34Z	item_response_warehouse	v24.2	2025-02-17T22:05:58Z	bracketed	2025-02-18T00:24:24Z
93	2025-02-17T23:15:34Z	irw_meta	v5.4	2025-02-17T23:15:34Z	exact	
94	2025-02-18T00:24:24Z	item_response_warehouse	v24.3	2025-02-18T00:24:24Z	bracketed	2025-02-18T22:41:27Z
94	2025-02-18T00:24:24Z	irw_meta	v5.4	2025-02-17T23:15:34Z	exact	
95	2025-02-18T14:48:38Z	item_response_warehouse	v24.3	2025-02-18T00:24:24Z	bracketed	2025-02-18T22:41:27Z
95	2025-02-18T14:48:38Z	irw_meta	v5.5	2025-02-18T14:48:38Z	exact	
96	2025-02-18T22:41:27Z	item_response_warehouse	v24.4	2025-02-18T22:41:27Z	bracketed	2025-02-24T00:17:10Z
96	2025-02-18T22:41:27Z	irw_meta	v5.5	2025-02-18T14:48:38Z	exact	
97	2025-02-19T01:51:11Z	item_response_warehouse	v24.4	2025-02-18T22:41:27Z	bracketed	2025-02-24T00:17:10Z
97	2025-02-19T01:51:11Z	irw_meta	v5.6	2025-02-19T01:51:11Z	exact	
98	2025-02-19T21:37:00Z	item_response_warehouse	v24.4	2025-02-18T22:41:27Z	bracketed	2025-02-24T00:17:10Z
98	2025-02-19T21:37:00Z	irw_meta	v5.7	2025-02-19T21:37:00Z	exact	
99	2025-02-24T00:17:10Z	item_response_warehouse	v24.5	2025-02-24T00:17:10Z	bracketed	2025-02-24T16:28:12Z
99	2025-02-24T00:17:10Z	irw_meta	v5.7	2025-02-19T21:37:00Z	exact	
100	2025-02-24T16:28:12Z	item_response_warehouse	v25.0	2025-02-24T16:28:12Z	bracketed	2025-02-24T16:45:01Z
100	2025-02-24T16:28:12Z	irw_meta	v5.7	2025-02-19T21:37:00Z	exact	
101	2025-02-24T16:45:01Z	item_response_warehouse	v25.1	2025-02-24T16:45:01Z	bracketed	2025-02-27T01:53:09Z
101	2025-02-24T16:45:01Z	irw_meta	v5.7	2025-02-19T21:37:00Z	exact	
102	2025-02-24T17:58:53Z	item_response_warehouse	v25.1	2025-02-24T16:45:01Z	bracketed	2025-02-27T01:53:09Z
102	2025-02-24T17:58:53Z	irw_meta	v6.0	2025-02-24T17:58:53Z	exact	
103	2025-02-25T15:51:25Z	item_response_warehouse	v25.1	2025-02-24T16:45:01Z	bracketed	2025-02-27T01:53:09Z
103	2025-02-25T15:51:25Z	irw_meta	v7.0	2025-02-25T15:51:25Z	exact	
104	2025-02-27T01:53:09Z	item_response_warehouse	v26.0	2025-02-27T01:53:09Z	bracketed	2025-03-03T16:13:04Z
104	2025-02-27T01:53:09Z	irw_meta	v7.0	2025-02-25T15:51:25Z	exact	
105	2025-03-01T18:35:36Z	item_response_warehouse	v26.0	2025-02-27T01:53:09Z	bracketed	2025-03-03T16:13:04Z
105	2025-03-01T18:35:36Z	irw_meta	v7.1	2025-03-01T18:35:36Z	exact	
106	2025-03-03T16:13:04Z	item_response_warehouse	v26.1	2025-03-03T16:13:04Z	bracketed	2025-03-05T18:22:28Z
106	2025-03-03T16:13:04Z	irw_meta	v7.1	2025-03-01T18:35:36Z	exact	
107	2025-03-04T19:20:21Z	item_response_warehouse	v26.1	2025-03-03T16:13:04Z	bracketed	2025-03-05T18:22:28Z
107	2025-03-04T19:20:21Z	irw_meta	v7.2	2025-03-04T19:20:21Z	exact	
108	2025-03-05T18:22:28Z	item_response_warehouse	v26.2	2025-03-05T18:22:28Z	bracketed	2025-03-17T00:28:09Z
108	2025-03-05T18:22:28Z	irw_meta	v7.2	2025-03-04T19:20:21Z	exact	
109	2025-03-10T16:32:40Z	item_response_warehouse	v26.2	2025-03-05T18:22:28Z	bracketed	2025-03-17T00:28:09Z
109	2025-03-10T16:32:40Z	irw_meta	v7.3	2025-03-10T16:32:40Z	exact	
110	2025-03-12T00:30:51Z	item_response_warehouse	v26.2	2025-03-05T18:22:28Z	bracketed	2025-03-17T00:28:09Z
110	2025-03-12T00:30:51Z	irw_meta	v7.4	2025-03-12T00:30:51Z	exact	
111	2025-03-17T00:28:09Z	item_response_warehouse	v27.0	2025-03-17T00:28:09Z	bracketed	2025-03-17T15:40:08Z
111	2025-03-17T00:28:09Z	irw_meta	v7.4	2025-03-12T00:30:51Z	exact	
112	2025-03-17T15:40:08Z	item_response_warehouse	v27.1	2025-03-17T15:40:08Z	bracketed	2025-03-25T20:31:39Z
112	2025-03-17T15:40:08Z	irw_meta	v7.4	2025-03-12T00:30:51Z	exact	
113	2025-03-19T23:23:03Z	item_response_warehouse	v27.1	2025-03-17T15:40:08Z	bracketed	2025-03-25T20:31:39Z
113	2025-03-19T23:23:03Z	irw_meta	v7.5	2025-03-19T23:23:03Z	exact	
114	2025-03-25T20:31:39Z	item_response_warehouse	v28.0	2025-03-25T20:31:39Z	bracketed	2025-04-16T17:33:58Z
114	2025-03-25T20:31:39Z	irw_meta	v7.5	2025-03-19T23:23:03Z	exact	
115	2025-04-11T15:32:04Z	item_response_warehouse	v28.0	2025-03-25T20:31:39Z	bracketed	2025-04-16T17:33:58Z
115	2025-04-11T15:32:04Z	irw_meta	v7.6	2025-04-11T15:32:04Z	exact	
116	2025-04-11T16:40:47Z	item_response_warehouse	v28.0	2025-03-25T20:31:39Z	bracketed	2025-04-16T17:33:58Z
116	2025-04-11T16:40:47Z	irw_meta	v7.7	2025-04-11T16:40:47Z	exact	
117	2025-04-16T17:33:58Z	item_response_warehouse	v28.1	2025-04-16T17:33:58Z	bracketed	2025-04-29T14:08:37Z
117	2025-04-16T17:33:58Z	irw_meta	v7.7	2025-04-11T16:40:47Z	exact	
118	2025-04-21T17:52:40Z	item_response_warehouse	v28.1	2025-04-16T17:33:58Z	bracketed	2025-04-29T14:08:37Z
118	2025-04-21T17:52:40Z	irw_meta	v7.8	2025-04-21T17:52:40Z	exact	
119	2025-04-29T14:08:37Z	item_response_warehouse	v28.2	2025-04-29T14:08:37Z	bracketed	2025-05-12T22:17:20Z
119	2025-04-29T14:08:37Z	irw_meta	v7.8	2025-04-21T17:52:40Z	exact	
120	2025-05-02T19:36:11Z	item_response_warehouse	v28.2	2025-04-29T14:08:37Z	bracketed	2025-05-12T22:17:20Z
120	2025-05-02T19:36:11Z	irw_meta	v7.8	2025-04-21T17:52:40Z	exact	
120	2025-05-02T19:36:11Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
121	2025-05-03T15:19:43Z	item_response_warehouse	v28.2	2025-04-29T14:08:37Z	bracketed	2025-05-12T22:17:20Z
121	2025-05-03T15:19:43Z	irw_meta	v7.9	2025-05-03T15:19:43Z	exact	
121	2025-05-03T15:19:43Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
122	2025-05-08T14:11:49Z	item_response_warehouse	v28.2	2025-04-29T14:08:37Z	bracketed	2025-05-12T22:17:20Z
122	2025-05-08T14:11:49Z	irw_meta	v7.10	2025-05-08T14:11:49Z	exact	
122	2025-05-08T14:11:49Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
123	2025-05-12T22:17:20Z	item_response_warehouse	v28.3	2025-05-12T22:17:20Z	bracketed	2025-05-22T22:15:31Z
123	2025-05-12T22:17:20Z	irw_meta	v7.10	2025-05-08T14:11:49Z	exact	
123	2025-05-12T22:17:20Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
124	2025-05-22T22:15:31Z	item_response_warehouse	v28.4	2025-05-22T22:15:31Z	bracketed	2025-06-07T13:08:35Z
124	2025-05-22T22:15:31Z	irw_meta	v7.10	2025-05-08T14:11:49Z	exact	
124	2025-05-22T22:15:31Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
125	2025-06-05T12:08:12Z	item_response_warehouse	v28.4	2025-05-22T22:15:31Z	bracketed	2025-06-07T13:08:35Z
125	2025-06-05T12:08:12Z	irw_meta	v7.11	2025-06-05T12:08:12Z	exact	
125	2025-06-05T12:08:12Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
126	2025-06-07T13:08:35Z	item_response_warehouse	v28.5	2025-06-07T13:08:35Z	bracketed	2025-06-12T12:42:13Z
126	2025-06-07T13:08:35Z	irw_meta	v7.11	2025-06-05T12:08:12Z	exact	
126	2025-06-07T13:08:35Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
127	2025-06-12T12:42:13Z	item_response_warehouse	v29.0	2025-06-12T12:42:13Z	bracketed	2025-06-13T14:04:21Z
127	2025-06-12T12:42:13Z	irw_meta	v7.11	2025-06-05T12:08:12Z	exact	
127	2025-06-12T12:42:13Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
128	2025-06-12T12:58:48Z	item_response_warehouse	v29.0	2025-06-12T12:42:13Z	bracketed	2025-06-13T14:04:21Z
128	2025-06-12T12:58:48Z	irw_meta	v7.12	2025-06-12T12:58:48Z	exact	
128	2025-06-12T12:58:48Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
129	2025-06-13T14:04:21Z	item_response_warehouse	v29.1	2025-06-13T14:04:21Z	bracketed	2025-06-24T18:48:53Z
129	2025-06-13T14:04:21Z	irw_meta	v7.12	2025-06-12T12:58:48Z	exact	
129	2025-06-13T14:04:21Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
130	2025-06-24T18:48:53Z	item_response_warehouse	v30.0	2025-06-24T18:48:53Z	bracketed	2025-06-30T16:26:31Z
130	2025-06-24T18:48:53Z	irw_meta	v7.12	2025-06-12T12:58:48Z	exact	
130	2025-06-24T18:48:53Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
131	2025-06-24T19:03:18Z	item_response_warehouse	v30.0	2025-06-24T18:48:53Z	bracketed	2025-06-30T16:26:31Z
131	2025-06-24T19:03:18Z	irw_meta	v7.13	2025-06-24T19:03:18Z	exact	
131	2025-06-24T19:03:18Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
132	2025-06-25T12:14:49Z	item_response_warehouse	v30.0	2025-06-24T18:48:53Z	bracketed	2025-06-30T16:26:31Z
132	2025-06-25T12:14:49Z	irw_meta	v7.14	2025-06-25T12:14:49Z	exact	
132	2025-06-25T12:14:49Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
133	2025-06-25T16:56:44Z	item_response_warehouse	v30.0	2025-06-24T18:48:53Z	bracketed	2025-06-30T16:26:31Z
133	2025-06-25T16:56:44Z	irw_meta	v8.0	2025-06-25T16:56:44Z	exact	
133	2025-06-25T16:56:44Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
134	2025-06-30T16:26:31Z	item_response_warehouse	v30.1	2025-06-30T16:26:31Z	bracketed	2025-07-07T18:19:05Z
134	2025-06-30T16:26:31Z	irw_meta	v8.0	2025-06-25T16:56:44Z	exact	
134	2025-06-30T16:26:31Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
135	2025-07-01T14:30:04Z	item_response_warehouse	v30.1	2025-06-30T16:26:31Z	bracketed	2025-07-07T18:19:05Z
135	2025-07-01T14:30:04Z	irw_meta	v9.0	2025-07-01T14:30:04Z	exact	
135	2025-07-01T14:30:04Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
136	2025-07-02T13:31:34Z	item_response_warehouse	v30.1	2025-06-30T16:26:31Z	bracketed	2025-07-07T18:19:05Z
136	2025-07-02T13:31:34Z	irw_meta	v9.1	2025-07-02T13:31:34Z	exact	
136	2025-07-02T13:31:34Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
137	2025-07-07T18:19:05Z	item_response_warehouse	v30.2	2025-07-07T18:19:05Z	bracketed	2025-08-04T19:56:01Z
137	2025-07-07T18:19:05Z	irw_meta	v9.1	2025-07-02T13:31:34Z	exact	
137	2025-07-07T18:19:05Z	irw_simsyn	v1.0	2025-05-02T19:36:11Z	exact	
138	2025-07-10T14:02:53Z	item_response_warehouse	v30.2	2025-07-07T18:19:05Z	bracketed	2025-08-04T19:56:01Z
138	2025-07-10T14:02:53Z	irw_text	v1.0	2025-07-10T14:02:53Z	exact	
138	2025-07-10T14:02:53Z	irw_meta	v9.1	2025-07-02T13:31:34Z	exact	
