table,claimed,cited_was,cited_now,outcome
hyatt_2023_aggression_s3_srp4,10.1002/ab.22088,10.1002/ab.22097,10.1002/ab.22088,refetched
hyatt_2023_aggression_s3_ssis,10.1002/ab.22088,10.1002/ab.22092,10.1002/ab.22088,refetched
kazarovytska_2026_ingroup_event_attribution,10.1037/pspi0000513,10.1037/pspi0000518,10.1037/pspi0000513,refetched
kazarovytska_2026_ingroup_event_presence,10.1037/pspi0000513,10.1037/pspi0000519,10.1037/pspi0000513,refetched
kazarovytska_2026_ingroup_event_prr,10.1037/pspi0000513,10.1037/pspi0000515,10.1037/pspi0000513,refetched
kazarovytska_2026_ingroup_event_srr,10.1037/pspi0000513,10.1037/pspi0000514,10.1037/pspi0000513,refetched
kazarovytska_2026_ingroup_event_threat,10.1037/pspi0000513,10.1037/pspi0000516,10.1037/pspi0000513,refetched
kazarovytska_2026_ingroup_event_valence,10.1037/pspi0000513,10.1037/pspi0000517,10.1037/pspi0000513,refetched
oxfordcovid_xue_2024_at,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_bfi,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_brs,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_edeq,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_gad,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_iusc,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_mfq,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_mh,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_pas,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_phq,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_pss,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_pswq_a,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_pswq_c,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_rse,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_school,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_swemws,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
oxfordcovid_xue_2024_ua,10.5334/jopd.56,10.3758/s13428-023-02121-5,10.5334/jopd.56,refetched
west_2021_retaliatory_aggression_acq,10.1037/mot0000248,10.1037/mot0000252,10.1037/mot0000248,refetched
west_2021_retaliatory_aggression_ars,10.1037/mot0000248,10.1037/mot0000249,10.1037/mot0000248,refetched
west_2021_retaliatory_aggression_bpaq,10.1037/mot0000248,10.1037/mot0000250,10.1037/mot0000248,refetched
west_2021_retaliatory_aggression_cast,10.1037/mot0000248,10.1037/mot0000251,10.1037/mot0000248,refetched
west_2021_retaliatory_aggression_study3_sd3_psychopathy,10.1037/mot0000248,10.1037/mot0000253,10.1037/mot0000248,refetched
west_2021_retaliatory_aggression_study4_deq,10.1037/mot0000248,10.1037/mot0000254,10.1037/mot0000248,refetched
