table,column,kind,was,now
chen_2022_cesd,Reference_x,conflict,"Chen, Y., Zhan, Q., & Liu, Z. (2022). Mental health dataset of college students during COVID-19 [Data set]. Science Data Bank. https://doi.org/10.57760/sciencedb.000115.00089","Chen, Y., Zhan, Q., & Liu, Z. (2022). Mental health dataset of college students during COVID-19 [Data set]. Science Data Bank. https://doi.org/10.57760/sciencedb.o00115.00089"
chen_2022_gad,Reference_x,conflict,"Chen, Y., Zhan, Q., & Liu, Z. (2022). Mental health dataset of college students during COVID-19 [Data set]. Science Data Bank. https://doi.org/10.57760/sciencedb.000115.00089","Chen, Y., Zhan, Q., & Liu, Z. (2022). Mental health dataset of college students during COVID-19 [Data set]. Science Data Bank. https://doi.org/10.57760/sciencedb.o00115.00089"
chen_2022_sasc,Description,conflict,SASC item-response data from a COVID-19 mental health survey of Chinese college students.,Smartphone Addiction Scale for College Students (SAS-C) responses from a COVID-19 mental health survey of Chinese college students.
chen_2022_sasc,Reference_x,conflict,"Chen, Y., Zhan, Q., & Liu, Z. (2022). Mental health dataset of college students during COVID-19 [Data set]. Science Data Bank. https://doi.org/10.57760/sciencedb.000115.00089","Chen, Y., Zhan, Q., & Liu, Z. (2022). Mental health dataset of college students during COVID-19 [Data set]. Science Data Bank. https://doi.org/10.57760/sciencedb.o00115.00089"
childrensocialcognition_cvencek_2025_flowerinsectattitude,URL__for_data_,conflict,https://psycnet.apa.org/record/2026-36527-001,https://osf.io/w35zk/
childrensocialcognition_cvencek_2025_genderidentity,URL__for_data_,conflict,https://psycnet.apa.org/record/2026-36527-001,https://osf.io/w35zk/
childrensocialcognition_cvencek_2025_genderingroupbias,URL__for_data_,conflict,https://psycnet.apa.org/record/2026-36527-001,https://osf.io/w35zk/
childrensocialcognition_cvencek_2025_mathgenderstereotype,URL__for_data_,conflict,https://psycnet.apa.org/record/2026-36527-001,https://osf.io/w35zk/
content_literacy_intervention_g1,Description,conflict,"Items from a randomized trial to improve reading comprehension, science domain knowledge, and reading engagement via literacy inteventions in 1st grade","Items from a randomized trial to improve reading comprehension, science domain knowledge, and reading engagement via literacy inteventions"
content_literacy_intervention_g1,DOI__for_paper_,conflict,10.7910/DVN/RVJIMX,10.1007/s10648-021-09609-6
content_literacy_intervention_g1,Reference_x,conflict,"Kim, J. S., Burkhauser, M. A., Mesite, L. M., Asher, C. A., Relyea, J. E., Fitzgerald, J., & Elmore, J. (2021). Improving reading comprehension, science domain knowledge, and reading engagement through a first-grade content literacy intervention. Journal of Educational Psychology, 113(1), 3.

Kim, James S.; Burkhauser, Mary; Mesite, Laura; Asher, Catherine A.; Relyea, Jackie Eunjung; Fitzgerald, Jill; Elmore, Jeff, 2021, ""Replication data for: Improving Reading Comprehension, Science Domain Knowledge, and Reading Engagement through a First-Grade Content Literacy Intervention"", https://doi.org/10.7910/DVN/RVJIMX, Harvard Dataverse, V1, UNF:6:BSUJnLmkvmj0YSTQr3MZAA== [fileUNF]","Kim, J. S., Relyea, J. E., Burkhauser, M. A., Scherer, E., & Rich, P. (2021). Improving elementary grade students’ science and social studies vocabulary knowledge depth, reading comprehension, and argumentative writing: A conceptual replication. Educational Psychology Review, 1-30."
cud_stone2024,Description,fill,NA,"Cannabis cravings, severity and problems"
cud_stone2024,URL__for_data_,fill,NA,https://osf.io/nswbk/?view_only=
dalky_2020_sf36,Reference_x,conflict,Dalky et al. (2020). The health-related quality of life of Syrian refugee women in their reproductive age. PeerJ.,Nabolsi et al. (2020). The health-related quality of life of Syrian refugee women in their reproductive age. PeerJ.
divia_2025_tiktok_fomo_shopping,Reference_x,fill,NA,Arifin (2025). Data Support - Digital Shopping Behavior among Indonesian TikTok Users: Exploring Livestream Shopping and Fear [Dataset]. Figshare. DOI: 10.6084/m9.figshare.29378996.v2
ECPS_Sahm_2024_Distrust,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Distrust Subscale,"COVIDiSTRESS Global Survey Round II - Anti-expert sentiment, COVID-19 misperceptions and conspiratorial thinking"
ECPS_Sahm_2024_Distrust,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_Distrust,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_Distrust,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_DTL,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Deal with Things in Life Subscale,COVIDiSTRESS Global Survey Round II - Intolerance of uncertainty and resilience (Brief Resilience Scale)
ECPS_Sahm_2024_DTL,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_DTL,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_DTL,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_Emotion,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Emotion Subscale,"COVIDiSTRESS Global Survey Round II — Emotion Regulation Questionnaire short form: expressive suppression and cognitive reappraisal (8 items); the German subsample of these items was validated by Sahm, Burghart & Mier (2024)"
ECPS_Sahm_2024_Emotion,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_Emotion,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., & the COVIDiSTRESS II Consortium (2022). Scientific Data, 9, 331. https://doi.org/10.1038/s41597-022-01383-6"
ECPS_Sahm_2024_Emotion,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_IA,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Information Acquisition Subscale,COVIDiSTRESS Global Survey Round II - Information acquisition: sources consulted about COVID-19
ECPS_Sahm_2024_IA,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_IA,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_IA,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_Identity,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Identity Subscale,COVIDiSTRESS Global Survey Round II - Group identification
ECPS_Sahm_2024_Identity,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_Identity,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_Identity,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_Moral,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Moral Subscale,COVIDiSTRESS Global Survey Round II - Moral values
ECPS_Sahm_2024_Moral,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_Moral,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_Moral,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_SSCD,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Staying Safe & Compliance Subscale,"COVIDiSTRESS Global Survey Round II - Compliance with COVID-19 guidelines, and social influence (descriptive and injunctive norms)"
ECPS_Sahm_2024_SSCD,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_SSCD,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_SSCD,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_Stress,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Stress Related Subscale,"COVIDiSTRESS Global Survey Round II - Perceived Stress Scale, primary stressors and secondary stressors"
ECPS_Sahm_2024_Stress,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_Stress,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_Stress,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_Support,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Perceived Support Subscale,COVIDiSTRESS Global Survey Round II - Perceived social support
ECPS_Sahm_2024_Support,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_Support,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_Support,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_Trust,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Trust Subscale,COVIDiSTRESS Global Survey Round II - Trust in institutions
ECPS_Sahm_2024_Trust,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_Trust,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_Trust,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
ECPS_Sahm_2024_Vaccine,Description,conflict,German Version of the Emotion Regulation Questionnaire-Short Form - Vaccine Subscale,COVIDiSTRESS Global Survey Round II - Vaccine attitudes and vaccine willingness
ECPS_Sahm_2024_Vaccine,DOI__for_paper_,conflict,10.17605/OSF.IO/N26MB,10.1038/s41597-022-01383-6
ECPS_Sahm_2024_Vaccine,Reference_x,conflict,"Sahm, A. H. J., Burghart, M., & Mier, D. (2024, October 21). Psychometric Properties of a German Version of the Emotion Regulation Questionnaire-Short Form (ERQ-S): Evidence from Community and Patient Samples. https://doi.org/10.17605/OSF.IO/N26MB","Blackburn, A. M., Vestergren, S., et al. (2022). COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic. Scientific Data, 9, 331."
ECPS_Sahm_2024_Vaccine,URL__for_data_,conflict,https://osf.io/n26mb/,https://osf.io/36tsd/
emobank_buechel_2017,Reference_x,conflict,"Sven Buechel and Udo Hahn. 2017. EmoBank: Studying the Impact of Annotation Perspective and Representation Format on Dimensional Emotion Analysis. In EACL 2017 - Proceedings of the 15th Conference of the European Chapter of the Association for Computational Linguistics. Valencia, Spain, April 3-7, 2017. Volume 2, Short Papers, pages 578-585. Available: http://aclweb.org/anthology/E17-2092

Sven Buechel and Udo Hahn. 2017. Readers vs. writers vs. texts: Coping with different perspectives of text understanding in emotion annotation. In LAW 2017 - Proceedings of the 11th Linguistic Annotation Workshop @ EACL 2017. Valencia, Spain, April 3, 2017, pages 1-12. Available: https://sigann.github.io/LAW-XI-2017/papers/LAW01.pdf","Sven Buechel and Udo Hahn. 2017. EmoBank: Studying the Impact of Annotation Perspective and Representation Format on Dimensional Emotion Analysis. In Proceedings of the 15th Conference of the European Chapter of the Association for Computational Linguistics: Volume 2, Short Papers, pages 578–585, Valencia, Spain. Association for Computational Linguistics."
enem_2013_1mil_ch,Description,conflict,Data from the natural science portion of the 2013 Brazilian ENEM assessment (one million person subsample),"Humanities portion of the 2013 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2013_1mil_cn,Description,conflict,Data from the social science portion of the 2013 Brazilian ENEM assessment (one million person subsample),"Natural sciences portion of the 2013 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2013_1mil_lc,Description,conflict,Data from the language portion of the 2013 Brazilian ENEM assessment (one million person subsample),"Language and codes portion of the 2013 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). LC keeps BOTH languages: each student answered only English OR Spanish foreign-language items, resolved via TP_LINGUA (sparse by design, density ~0.9 -- issue #723)."
enem_2013_1mil_mt,Description,conflict,Data from the mathematics portion of the 2013 Brazilian ENEM assessment (one million person subsample),"Mathematics portion of the 2013 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2014_1mil_ch,Description,conflict,Data from the natural science portion of the 2014 Brazilian ENEM assessment (one million person subsample),"Humanities portion of the 2014 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2014_1mil_cn,Description,conflict,Data from the social science portion of the 2014 Brazilian ENEM assessment (one million person subsample),"Natural sciences portion of the 2014 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2014_1mil_lc,Description,conflict,Data from the language portion of the 2014 Brazilian ENEM assessment (one million person subsample),"Language and codes portion of the 2014 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). LC keeps BOTH languages: each student answered only English OR Spanish foreign-language items, resolved via TP_LINGUA (sparse by design, density ~0.9 -- issue #723)."
enem_2014_1mil_mt,Description,conflict,Data from the mathematics portion of the 2014 Brazilian ENEM assessment (one million person subsample),"Mathematics portion of the 2014 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2015_1mil_ch,Description,conflict,Data from the natural science portion of the 2015 Brazilian ENEM assessment (one million person subsample),"Humanities portion of the 2015 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2015_1mil_cn,Description,conflict,Data from the social science portion of the 2015 Brazilian ENEM assessment (one million person subsample),"Natural sciences portion of the 2015 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2015_1mil_lc,Description,conflict,Data from the language portion of the 2015 Brazilian ENEM assessment (one million person subsample),"Language and codes portion of the 2015 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). LC keeps BOTH languages: each student answered only English OR Spanish foreign-language items, resolved via TP_LINGUA (sparse by design, density ~0.9 -- issue #723)."
enem_2015_1mil_mt,Description,conflict,Data from the mathematics portion of the 2015 Brazilian ENEM assessment (one million person subsample),"Mathematics portion of the 2015 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2016_1mil_ch,Description,conflict,Data from the natural science portion of the 2016 Brazilian ENEM assessment (one million person subsample),"Humanities portion of the 2016 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2016_1mil_cn,Description,conflict,Data from the social science portion of the 2016 Brazilian ENEM assessment (one million person subsample),"Natural sciences portion of the 2016 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2016_1mil_lc,Description,conflict,Data from the language portion of the 2016 Brazilian ENEM assessment (one million person subsample),"Language and codes portion of the 2016 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). LC keeps BOTH languages: each student answered only English OR Spanish foreign-language items, resolved via TP_LINGUA (sparse by design, density ~0.9 -- issue #723)."
enem_2016_1mil_mt,Description,conflict,Data from the mathematics portion of the 2016 Brazilian ENEM assessment (one million person subsample),"Mathematics portion of the 2016 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2017_1mil_ch,Description,conflict,Data from the natural science portion of the 2017 Brazilian ENEM assessment (one million person subsample),"Humanities portion of the 2017 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2017_1mil_cn,Description,conflict,Data from the social science portion of the 2017 Brazilian ENEM assessment (one million person subsample),"Natural sciences portion of the 2017 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2017_1mil_lc,Description,conflict,Data from the language portion of the 2017 Brazilian ENEM assessment (one million person subsample),"Language and codes portion of the 2017 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). LC keeps BOTH languages: each student answered only English OR Spanish foreign-language items, resolved via TP_LINGUA (sparse by design, density ~0.9 -- issue #723)."
enem_2017_1mil_mt,Description,conflict,Data from the mathematics portion of the 2017 Brazilian ENEM assessment (one million person subsample),"Mathematics portion of the 2017 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2018_1mil_ch,Description,conflict,Data from the natural science portion of the 2018 Brazilian ENEM assessment (one million person subsample),"Humanities portion of the 2018 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2018_1mil_cn,Description,conflict,Data from the social science portion of the 2018 Brazilian ENEM assessment (one million person subsample),"Natural sciences portion of the 2018 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2018_1mil_lc,Description,conflict,Data from the language portion of the 2018 Brazilian ENEM assessment (one million person subsample),"Language and codes portion of the 2018 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). LC keeps BOTH languages: each student answered only English OR Spanish foreign-language items, resolved via TP_LINGUA (sparse by design, density ~0.9 -- issue #723)."
enem_2018_1mil_mt,Description,conflict,Data from the mathematics portion of the 2018 Brazilian ENEM assessment (one million person subsample),"Mathematics portion of the 2018 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2019_1mil_ch,Description,conflict,Data from the natural science portion of the 2019 Brazilian ENEM assessment (one million person subsample),"Humanities portion of the 2019 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2019_1mil_cn,Description,conflict,Data from the social science portion of the 2019 Brazilian ENEM assessment (one million person subsample),"Natural sciences portion of the 2019 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2019_1mil_lc,Description,conflict,Data from the language portion of the 2019 Brazilian ENEM assessment (one million person subsample),"Language and codes portion of the 2019 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). LC keeps BOTH languages: each student answered only English OR Spanish foreign-language items, resolved via TP_LINGUA (sparse by design, density ~0.9 -- issue #723)."
enem_2019_1mil_mt,Description,conflict,Data from the mathematics portion of the 2019 Brazilian ENEM assessment (one million person subsample),"Mathematics portion of the 2019 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2020_1mil_ch,Description,conflict,Data from the natural science portion of the 2020 Brazilian ENEM assessment (one million person subsample),"Humanities portion of the 2020 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2020_1mil_cn,Description,conflict,Data from the social science portion of the 2020 Brazilian ENEM assessment (one million person subsample),"Natural sciences portion of the 2020 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2020_1mil_lc,Description,conflict,Data from the language portion of the 2020 Brazilian ENEM assessment (one million person subsample),"Language and codes portion of the 2020 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). LC keeps BOTH languages: each student answered only English OR Spanish foreign-language items, resolved via TP_LINGUA (sparse by design, density ~0.9 -- issue #723)."
enem_2020_1mil_mt,Description,conflict,Data from the mathematics portion of the 2020 Brazilian ENEM assessment (one million person subsample),"Mathematics portion of the 2020 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2021_1mil_ch,Description,conflict,Data from the natural science portion of the 2021 Brazilian ENEM assessment (one million person subsample),"Humanities portion of the 2021 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
enem_2021_1mil_cn,Description,conflict,Data from the social science portion of the 2021 Brazilian ENEM assessment (one million person subsample),"Natural sciences portion of the 2021 Brazilian ENEM, one-million-person subsample, restricted to main-application items only (issue #955). Binary scored (0/1). Density ~1.0 (single unlinked instrument)."
