"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","wording_rights","resp"
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_3","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to learn new things at work",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_3","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to learn new things at work",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_3","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to learn new things at work",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_3","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to learn new things at work",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_3","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to learn new things at work",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_4","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that I use my capacities to the fullest",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_4","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that I use my capacities to the fullest",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_4","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that I use my capacities to the fullest",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_4","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that I use my capacities to the fullest",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_4","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that I use my capacities to the fullest",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_5","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I decide on my own how I do things",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_5","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I decide on my own how I do things",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_5","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I decide on my own how I do things",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_5","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I decide on my own how I do things",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_5","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I decide on my own how I do things",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_6","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that my work is mentally less intense",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_6","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that my work is mentally less intense",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_6","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that my work is mentally less intense",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_6","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that my work is mentally less intense",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_6","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I make sure that my work is mentally less intense",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_7","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that my work is emotionally less intense",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_7","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that my work is emotionally less intense",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_7","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that my work is emotionally less intense",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_7","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that my work is emotionally less intense",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_7","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that my work is emotionally less intense",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_8","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I manage my work so that I try to minimize contact with people whose problems affect me emotionally",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_8","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I manage my work so that I try to minimize contact with people whose problems affect me emotionally",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_8","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I manage my work so that I try to minimize contact with people whose problems affect me emotionally",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_8","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I manage my work so that I try to minimize contact with people whose problems affect me emotionally",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_8","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I manage my work so that I try to minimize contact with people whose problems affect me emotionally",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_9","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work so as to minimize contact with people whose expectations are unrealistic",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_9","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work so as to minimize contact with people whose expectations are unrealistic",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_9","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work so as to minimize contact with people whose expectations are unrealistic",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_9","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work so as to minimize contact with people whose expectations are unrealistic",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_9","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work so as to minimize contact with people whose expectations are unrealistic",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_10","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that I do not have to make many difficult decisions at work",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_10","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that I do not have to make many difficult decisions at work",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_10","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that I do not have to make many difficult decisions at work",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_10","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that I do not have to make many difficult decisions at work",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_10","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to ensure that I do not have to make many difficult decisions at work",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_11","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work in such a way to make sure that I do not have to concentrate for too long a period at once",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_11","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work in such a way to make sure that I do not have to concentrate for too long a period at once",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_11","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work in such a way to make sure that I do not have to concentrate for too long a period at once",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_11","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work in such a way to make sure that I do not have to concentrate for too long a period at once",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_11","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I organize my work in such a way to make sure that I do not have to concentrate for too long a period at once",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_12","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask my supervisor to coach me",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_12","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask my supervisor to coach me",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_12","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask my supervisor to coach me",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_12","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask my supervisor to coach me",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_12","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask my supervisor to coach me",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_13","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask whether my supervisor is satisfied with my work",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_13","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask whether my supervisor is satisfied with my work",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_13","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask whether my supervisor is satisfied with my work",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_13","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask whether my supervisor is satisfied with my work",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_13","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask whether my supervisor is satisfied with my work",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_14","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I look to my supervisor for inspiration",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_14","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I look to my supervisor for inspiration",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_14","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I look to my supervisor for inspiration",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_14","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I look to my supervisor for inspiration",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_14","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I look to my supervisor for inspiration",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_15","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask others for feedback on my job performance",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_15","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask others for feedback on my job performance",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_15","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask others for feedback on my job performance",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_15","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask others for feedback on my job performance",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_15","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask others for feedback on my job performance",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_16","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask colleagues for advice",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_16","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask colleagues for advice",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_16","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask colleagues for advice",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_16","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask colleagues for advice",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_16","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I ask colleagues for advice",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_17","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_17","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_17","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_17","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_17","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_18","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"If there are new developments, I am one of the first to learn about them and try them out",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_18","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"If there are new developments, I am one of the first to learn about them and try them out",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_18","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"If there are new developments, I am one of the first to learn about them and try them out",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_18","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"If there are new developments, I am one of the first to learn about them and try them out",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_18","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"If there are new developments, I am one of the first to learn about them and try them out",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_19","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"When there is not much to do at work, I see it as a chance to start new projects",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_19","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"When there is not much to do at work, I see it as a chance to start new projects",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_19","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"When there is not much to do at work, I see it as a chance to start new projects",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_19","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"When there is not much to do at work, I see it as a chance to start new projects",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_19","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"When there is not much to do at work, I see it as a chance to start new projects",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_20","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I regularly take on extra tasks even though I do not receive extra salary for them",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_20","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I regularly take on extra tasks even though I do not receive extra salary for them",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_20","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I regularly take on extra tasks even though I do not receive extra salary for them",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_20","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I regularly take on extra tasks even though I do not receive extra salary for them",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_20","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I regularly take on extra tasks even though I do not receive extra salary for them",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_21","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to make my work more challenging by examining the underlying relationships between aspects of my job",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_21","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to make my work more challenging by examining the underlying relationships between aspects of my job",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_21","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to make my work more challenging by examining the underlying relationships between aspects of my job",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_21","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to make my work more challenging by examining the underlying relationships between aspects of my job",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_21","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to make my work more challenging by examining the underlying relationships between aspects of my job",NA,NA,"Very often",NA,"NC",5
