"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","item_text_translated","option_text_translated"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_3","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Radio and television",NA,"Regelmäßig",1,NA,NA,"Regularly"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_3","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Radio and television",NA,"Häufig",2,NA,NA,"Frequently"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_3","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Radio and television",NA,"Gelegentlich",3,NA,NA,"Occasionally"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_3","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Radio and television",NA,"Selten",4,NA,NA,"Rarely"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_3","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Radio and television",NA,"Nie",5,NA,NA,"Never"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_4","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Online sources, e.g. blogs, forums, podcasts",NA,"Regelmäßig",1,NA,NA,"Regularly"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_4","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Online sources, e.g. blogs, forums, podcasts",NA,"Häufig",2,NA,NA,"Frequently"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_4","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Online sources, e.g. blogs, forums, podcasts",NA,"Gelegentlich",3,NA,NA,"Occasionally"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_4","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Online sources, e.g. blogs, forums, podcasts",NA,"Selten",4,NA,NA,"Rarely"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_4","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Online sources, e.g. blogs, forums, podcasts",NA,"Nie",5,NA,NA,"Never"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_5","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Social media such as Facebook or Twitter",NA,"Regelmäßig",1,NA,NA,"Regularly"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_5","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Social media such as Facebook or Twitter",NA,"Häufig",2,NA,NA,"Frequently"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_5","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Social media such as Facebook or Twitter",NA,"Gelegentlich",3,NA,NA,"Occasionally"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_5","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Social media such as Facebook or Twitter",NA,"Selten",4,NA,NA,"Rarely"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_5","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Social media such as Facebook or Twitter",NA,"Nie",5,NA,NA,"Never"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_6","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Websites/newsletters from producers and food retailers",NA,"Regelmäßig",1,NA,NA,"Regularly"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_6","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Websites/newsletters from producers and food retailers",NA,"Häufig",2,NA,NA,"Frequently"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_6","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Websites/newsletters from producers and food retailers",NA,"Gelegentlich",3,NA,NA,"Occasionally"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_6","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Websites/newsletters from producers and food retailers",NA,"Selten",4,NA,NA,"Rarely"
"gabriel_2026_media_use","gabriel_2026_media_use_1","media_6","Media use for information on agriculture and food","German","Which media do you use and how intensively to inform yourself about agriculture or food?",NA,"Websites/newsletters from producers and food retailers",NA,"Nie",5,NA,NA,"Never"
