"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","resp"
"dou2025_area","dou2025_area_1","area_3","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏音乐时，会被音乐所感动","When listening to music, I am moved by the music",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_4","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会觉得充满能量、精神充沛","When appreciating a work of art, I feel full of energy and vigour",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_4","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会觉得充满能量、精神充沛","When appreciating a work of art, I feel full of energy and vigour",NA,NA,2
"dou2025_area","dou2025_area_1","area_4","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会觉得充满能量、精神充沛","When appreciating a work of art, I feel full of energy and vigour",NA,NA,3
"dou2025_area","dou2025_area_1","area_4","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会觉得充满能量、精神充沛","When appreciating a work of art, I feel full of energy and vigour",NA,NA,4
"dou2025_area","dou2025_area_1","area_4","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，我会觉得充满能量、精神充沛","When appreciating a work of art, I feel full of energy and vigour",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_5","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"参观博物馆、听音乐会或欣赏舞蹈表演","Visiting museums, attending concerts, or watching dance performances",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_5","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"参观博物馆、听音乐会或欣赏舞蹈表演","Visiting museums, attending concerts, or watching dance performances",NA,NA,2
"dou2025_area","dou2025_area_1","area_5","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"参观博物馆、听音乐会或欣赏舞蹈表演","Visiting museums, attending concerts, or watching dance performances",NA,NA,3
"dou2025_area","dou2025_area_1","area_5","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"参观博物馆、听音乐会或欣赏舞蹈表演","Visiting museums, attending concerts, or watching dance performances",NA,NA,4
"dou2025_area","dou2025_area_1","area_5","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"参观博物馆、听音乐会或欣赏舞蹈表演","Visiting museums, attending concerts, or watching dance performances",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_6","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会产生敬畏、恐惧或震撼的感觉","When appreciating a work of art, I experience feelings of awe, fear, or being deeply struck",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_6","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会产生敬畏、恐惧或震撼的感觉","When appreciating a work of art, I experience feelings of awe, fear, or being deeply struck",NA,NA,2
"dou2025_area","dou2025_area_1","area_6","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会产生敬畏、恐惧或震撼的感觉","When appreciating a work of art, I experience feelings of awe, fear, or being deeply struck",NA,NA,3
"dou2025_area","dou2025_area_1","area_6","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会产生敬畏、恐惧或震撼的感觉","When appreciating a work of art, I experience feelings of awe, fear, or being deeply struck",NA,NA,4
"dou2025_area","dou2025_area_1","area_6","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会产生敬畏、恐惧或震撼的感觉","When appreciating a work of art, I experience feelings of awe, fear, or being deeply struck",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_7","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感觉自己与作品、周边环境融为一体","When appreciating a work of art, I feel myself merging with the work and the surrounding environment",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_7","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感觉自己与作品、周边环境融为一体","When appreciating a work of art, I feel myself merging with the work and the surrounding environment",NA,NA,2
"dou2025_area","dou2025_area_1","area_7","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感觉自己与作品、周边环境融为一体","When appreciating a work of art, I feel myself merging with the work and the surrounding environment",NA,NA,3
"dou2025_area","dou2025_area_1","area_7","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感觉自己与作品、周边环境融为一体","When appreciating a work of art, I feel myself merging with the work and the surrounding environment",NA,NA,4
"dou2025_area","dou2025_area_1","area_7","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感觉自己与作品、周边环境融为一体","When appreciating a work of art, I feel myself merging with the work and the surrounding environment",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_8","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会深受作品感染","When appreciating a work of art, I am deeply affected by it",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_8","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会深受作品感染","When appreciating a work of art, I am deeply affected by it",NA,NA,2
"dou2025_area","dou2025_area_1","area_8","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会深受作品感染","When appreciating a work of art, I am deeply affected by it",NA,NA,3
"dou2025_area","dou2025_area_1","area_8","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会深受作品感染","When appreciating a work of art, I am deeply affected by it",NA,NA,4
"dou2025_area","dou2025_area_1","area_8","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会深受作品感染","When appreciating a work of art, I am deeply affected by it",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_9","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感受到快乐、宁静等积极情绪","When appreciating a work of art, I feel positive emotions such as joy and calm",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_9","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感受到快乐、宁静等积极情绪","When appreciating a work of art, I feel positive emotions such as joy and calm",NA,NA,2
"dou2025_area","dou2025_area_1","area_9","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感受到快乐、宁静等积极情绪","When appreciating a work of art, I feel positive emotions such as joy and calm",NA,NA,3
"dou2025_area","dou2025_area_1","area_9","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感受到快乐、宁静等积极情绪","When appreciating a work of art, I feel positive emotions such as joy and calm",NA,NA,4
"dou2025_area","dou2025_area_1","area_9","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"欣赏艺术作品时，会感受到快乐、宁静等积极情绪","When appreciating a work of art, I feel positive emotions such as joy and calm",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_10","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"生活中有制作雕塑、绘画、导演电影或从事设计工作的行为","In daily life I make sculptures, paint, direct films, or do design work",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_10","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"生活中有制作雕塑、绘画、导演电影或从事设计工作的行为","In daily life I make sculptures, paint, direct films, or do design work",NA,NA,2
"dou2025_area","dou2025_area_1","area_10","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"生活中有制作雕塑、绘画、导演电影或从事设计工作的行为","In daily life I make sculptures, paint, direct films, or do design work",NA,NA,3
"dou2025_area","dou2025_area_1","area_10","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"生活中有制作雕塑、绘画、导演电影或从事设计工作的行为","In daily life I make sculptures, paint, direct films, or do design work",NA,NA,4
"dou2025_area","dou2025_area_1","area_10","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"生活中有制作雕塑、绘画、导演电影或从事设计工作的行为","In daily life I make sculptures, paint, direct films, or do design work",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_11","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"平时会写诗或写小说","I usually write poetry or fiction",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_11","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"平时会写诗或写小说","I usually write poetry or fiction",NA,NA,2
"dou2025_area","dou2025_area_1","area_11","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"平时会写诗或写小说","I usually write poetry or fiction",NA,NA,3
"dou2025_area","dou2025_area_1","area_11","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"平时会写诗或写小说","I usually write poetry or fiction",NA,NA,4
"dou2025_area","dou2025_area_1","area_11","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"平时会写诗或写小说","I usually write poetry or fiction",NA,"strongly agree",5
"dou2025_area","dou2025_area_1","area_12","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"目前(或过去)参加过艺术、创意写作或美学方面的课程","I am currently taking (or have in the past taken) courses in art, creative writing, or aesthetics",NA,"strongly disagree",1
"dou2025_area","dou2025_area_1","area_12","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"目前(或过去)参加过艺术、创意写作或美学方面的课程","I am currently taking (or have in the past taken) courses in art, creative writing, or aesthetics",NA,NA,2
"dou2025_area","dou2025_area_1","area_12","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"目前(或过去)参加过艺术、创意写作或美学方面的课程","I am currently taking (or have in the past taken) courses in art, creative writing, or aesthetics",NA,NA,3
"dou2025_area","dou2025_area_1","area_12","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"目前(或过去)参加过艺术、创意写作或美学方面的课程","I am currently taking (or have in the past taken) courses in art, creative writing, or aesthetics",NA,NA,4
"dou2025_area","dou2025_area_1","area_12","Aesthetic Responsiveness Assessment (AReA), Chinese revised 12-item version (Peng & Chen, 2023)","Chinese",NA,NA,"目前(或过去)参加过艺术、创意写作或美学方面的课程","I am currently taking (or have in the past taken) courses in art, creative writing, or aesthetics",NA,"strongly agree",5
