"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","option_text_translated"
"chile_2023_social-welfare-survey_h","main","h2_c","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de noche por calles o caminos",NA,"Poca",2,"How safe do you feel: Walking at night through streets or paths?","A little"
"chile_2023_social-welfare-survey_h","main","h2_c","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de noche por calles o caminos",NA,"Mucha",5,"How safe do you feel: Walking at night through streets or paths?","A lot"
"chile_2023_social-welfare-survey_h","main","h2_c","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de noche por calles o caminos",NA,"Nada",1,"How safe do you feel: Walking at night through streets or paths?","Not at all"
"chile_2023_social-welfare-survey_h","main","h2_c","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de noche por calles o caminos",NA,"No responde",NA,"How safe do you feel: Walking at night through streets or paths?","No response"
"chile_2023_social-welfare-survey_h","main","h2_c","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de noche por calles o caminos",NA,"Bastante",4,"How safe do you feel: Walking at night through streets or paths?","Fairly"
"chile_2023_social-welfare-survey_h","main","h2_c","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de noche por calles o caminos",NA,"Algo",3,"How safe do you feel: Walking at night through streets or paths?","Somewhat"
"chile_2023_social-welfare-survey_h","main","h2_c","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Caminando de noche por calles o caminos",NA,"No sabe",NA,"How safe do you feel: Walking at night through streets or paths?","Don't know"
"chile_2023_social-welfare-survey_h","main","h2_d","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está dentro de su vivienda o predio",NA,"Mucha",5,"How safe do you feel: When you are inside your home or property?","A lot"
"chile_2023_social-welfare-survey_h","main","h2_d","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está dentro de su vivienda o predio",NA,"Algo",3,"How safe do you feel: When you are inside your home or property?","Somewhat"
"chile_2023_social-welfare-survey_h","main","h2_d","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está dentro de su vivienda o predio",NA,"No sabe",NA,"How safe do you feel: When you are inside your home or property?","Don't know"
"chile_2023_social-welfare-survey_h","main","h2_d","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está dentro de su vivienda o predio",NA,"Nada",1,"How safe do you feel: When you are inside your home or property?","Not at all"
"chile_2023_social-welfare-survey_h","main","h2_d","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está dentro de su vivienda o predio",NA,"Poca",2,"How safe do you feel: When you are inside your home or property?","A little"
"chile_2023_social-welfare-survey_h","main","h2_d","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está dentro de su vivienda o predio",NA,"No responde",NA,"How safe do you feel: When you are inside your home or property?","No response"
"chile_2023_social-welfare-survey_h","main","h2_d","Chile CASEN community safety ratings",NA,NA,"Cuánta seguridad tiene: Cuando está dentro de su vivienda o predio",NA,"Bastante",4,"How safe do you feel: When you are inside your home or property?","Fairly"
"chile_2023_social-welfare-survey_h","main","h3_a","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de salir de día?",NA,"No",2,"Due to fear of crime: Did you stop going out during the day?","No"
"chile_2023_social-welfare-survey_h","main","h3_a","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de salir de día?",NA,"No sabe",NA,"Due to fear of crime: Did you stop going out during the day?","Don't know"
"chile_2023_social-welfare-survey_h","main","h3_a","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de salir de día?",NA,"No responde",NA,"Due to fear of crime: Did you stop going out during the day?","No response"
"chile_2023_social-welfare-survey_h","main","h3_a","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de salir de día?",NA,"Sí",1,"Due to fear of crime: Did you stop going out during the day?","Yes"
"chile_2023_social-welfare-survey_h","main","h3_b","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de salir de noche?",NA,"No sabe",NA,"Due to fear of crime: Did you stop going out at night?","Don't know"
"chile_2023_social-welfare-survey_h","main","h3_b","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de salir de noche?",NA,"Sí",1,"Due to fear of crime: Did you stop going out at night?","Yes"
"chile_2023_social-welfare-survey_h","main","h3_b","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de salir de noche?",NA,"No responde",NA,"Due to fear of crime: Did you stop going out at night?","No response"
"chile_2023_social-welfare-survey_h","main","h3_b","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de salir de noche?",NA,"No",2,"Due to fear of crime: Did you stop going out at night?","No"
"chile_2023_social-welfare-survey_h","main","h3_c","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de llevar dinero, joyas, documentos o celular?",NA,"Sí",1,"Due to fear of crime: Did you stop carrying money jewelry documents or a cell phone?","Yes"
"chile_2023_social-welfare-survey_h","main","h3_c","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de llevar dinero, joyas, documentos o celular?",NA,"No",2,"Due to fear of crime: Did you stop carrying money jewelry documents or a cell phone?","No"
"chile_2023_social-welfare-survey_h","main","h3_c","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de llevar dinero, joyas, documentos o celular?",NA,"No responde",NA,"Due to fear of crime: Did you stop carrying money jewelry documents or a cell phone?","No response"
"chile_2023_social-welfare-survey_h","main","h3_c","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de llevar dinero, joyas, documentos o celular?",NA,"No sabe",NA,"Due to fear of crime: Did you stop carrying money jewelry documents or a cell phone?","Don't know"
"chile_2023_social-welfare-survey_h","main","h3_d","Chile CASEN community safety ratings",NA,NA,"Por temor a delito:¿dejó de permitir salir a NNA que salgan por su cuenta?",NA,"No hay niños niñas o adolescentes en el hogar",3,"Due to fear of crime: Did you stop allowing children or adolescents to go out on their own?","There are no children or adolescents in the household"
"chile_2023_social-welfare-survey_h","main","h3_d","Chile CASEN community safety ratings",NA,NA,"Por temor a delito:¿dejó de permitir salir a NNA que salgan por su cuenta?",NA,"No",2,"Due to fear of crime: Did you stop allowing children or adolescents to go out on their own?","No"
"chile_2023_social-welfare-survey_h","main","h3_d","Chile CASEN community safety ratings",NA,NA,"Por temor a delito:¿dejó de permitir salir a NNA que salgan por su cuenta?",NA,"Sí",1,"Due to fear of crime: Did you stop allowing children or adolescents to go out on their own?","Yes"
"chile_2023_social-welfare-survey_h","main","h3_d","Chile CASEN community safety ratings",NA,NA,"Por temor a delito:¿dejó de permitir salir a NNA que salgan por su cuenta?",NA,"No sabe",NA,"Due to fear of crime: Did you stop allowing children or adolescents to go out on their own?","Don't know"
"chile_2023_social-welfare-survey_h","main","h3_d","Chile CASEN community safety ratings",NA,NA,"Por temor a delito:¿dejó de permitir salir a NNA que salgan por su cuenta?",NA,"No responde",NA,"Due to fear of crime: Did you stop allowing children or adolescents to go out on their own?","No response"
"chile_2023_social-welfare-survey_h","main","h3_e","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de usar transporte público?",NA,"No sabe",NA,"Due to fear of crime: Did you stop using public transportation?","Don't know"
"chile_2023_social-welfare-survey_h","main","h3_e","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de usar transporte público?",NA,"No",2,"Due to fear of crime: Did you stop using public transportation?","No"
"chile_2023_social-welfare-survey_h","main","h3_e","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de usar transporte público?",NA,"No responde",NA,"Due to fear of crime: Did you stop using public transportation?","No response"
"chile_2023_social-welfare-survey_h","main","h3_e","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de usar transporte público?",NA,"Sí",1,"Due to fear of crime: Did you stop using public transportation?","Yes"
"chile_2023_social-welfare-survey_h","main","h3_e","Chile CASEN community safety ratings",NA,NA,"Por temor a delito: ¿Dejó de usar transporte público?",NA,"No usa transporte público",3,"Due to fear of crime: Did you stop using public transportation?","Does not use public transportation"
"chile_2023_social-welfare-survey_h","main","h4_a","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Vigilancia policial de carabineros",NA,"Sí",1,"In your neighborhood: Is there police surveillance by Carabineros?","Yes"
"chile_2023_social-welfare-survey_h","main","h4_a","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Vigilancia policial de carabineros",NA,"No sabe",NA,"In your neighborhood: Is there police surveillance by Carabineros?","Don't know"
"chile_2023_social-welfare-survey_h","main","h4_a","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Vigilancia policial de carabineros",NA,"No",2,"In your neighborhood: Is there police surveillance by Carabineros?","No"
"chile_2023_social-welfare-survey_h","main","h4_a","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Vigilancia policial de carabineros",NA,"No responde",NA,"In your neighborhood: Is there police surveillance by Carabineros?","No response"
"chile_2023_social-welfare-survey_h","main","h4_b","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Seguridad ciudadana municipal",NA,"No responde",NA,"In your neighborhood: Is there municipal citizen security?","No response"
"chile_2023_social-welfare-survey_h","main","h4_b","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Seguridad ciudadana municipal",NA,"Sí",1,"In your neighborhood: Is there municipal citizen security?","Yes"
"chile_2023_social-welfare-survey_h","main","h4_b","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Seguridad ciudadana municipal",NA,"No sabe",NA,"In your neighborhood: Is there municipal citizen security?","Don't know"
"chile_2023_social-welfare-survey_h","main","h4_b","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Seguridad ciudadana municipal",NA,"No",2,"In your neighborhood: Is there municipal citizen security?","No"
"chile_2023_social-welfare-survey_h","main","h4_c","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Instancias de org. vecinal (grupo de WhatsApp o alarmas)",NA,"No",2,"In your neighborhood: Are there neighborhood organization efforts (WhatsApp group or alarms)?","No"
"chile_2023_social-welfare-survey_h","main","h4_c","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Instancias de org. vecinal (grupo de WhatsApp o alarmas)",NA,"No responde",NA,"In your neighborhood: Are there neighborhood organization efforts (WhatsApp group or alarms)?","No response"
"chile_2023_social-welfare-survey_h","main","h4_c","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Instancias de org. vecinal (grupo de WhatsApp o alarmas)",NA,"Sí",1,"In your neighborhood: Are there neighborhood organization efforts (WhatsApp group or alarms)?","Yes"
"chile_2023_social-welfare-survey_h","main","h4_c","Chile CASEN community safety ratings",NA,NA,"En su barrio tiene: Instancias de org. vecinal (grupo de WhatsApp o alarmas)",NA,"No sabe",NA,"In your neighborhood: Are there neighborhood organization efforts (WhatsApp group or alarms)?","Don't know"
