"itemtext_name","response_table","kind"
"pezzuti_2025_coolpeople_main_tight_usa_chile","pezzuti_2025_coolpeople_main_tight_USA_Chile","case_mismatch"
"pezzuti_2025_coolpeople_main_trendy_usa","pezzuti_2025_coolpeople_main_trendy_USA","case_mismatch"
"pezzuti_2025_coolpeople_main_uncertaintyavoidance_usa_chile","pezzuti_2025_coolpeople_main_uncertaintyavoidance_USA_Chile","case_mismatch"
"prcpsffmq_lecuona_2017","PRCPSFFMQ_Lecuona_2017","case_mismatch"
"psychtools_athenstaedt","psychtools_Athenstaedt","case_mismatch"
"qaslu_lopez_2024","QaSLu_lopez_2024","case_mismatch"
"qaslu_prado_2024","QaSLU_Prado_2024","case_mismatch"
"rd_eppscqrk_kipkemoi_2024_scq","RD_EppSCQRK_Kipkemoi_2024_scq","case_mismatch"
"rd_ppcsedsof_afable_2023","RD_PPCSEDSOF_Afable_2023","case_mismatch"
"rd_ppcvdos_padconacns_jinbo_2019_dos","RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS","case_mismatch"
"rosenberg_fadplus_goto2021","Rosenberg_fadplus_goto2021","case_mismatch"
"sas_deters_2022","SAS_Deters_2022","case_mismatch"
"sv-maia2_randelovic_2021_dass","SV-MAIA2_Randelovic_2021_DASS","case_mismatch"
"sv-maia2_randelovic_2021_delta","SV-MAIA2_Randelovic_2021_delta","case_mismatch"
"sv-maia2_randelovic_2021_erq","SV-MAIA2_Randelovic_2021_ERQ","case_mismatch"
"sv-maia2_randelovic_2021_hexaco100","SV-MAIA2_Randelovic_2021_hexaco100","case_mismatch"
"sv-maia2_randelovic_2021_hexaco60","SV-MAIA2_Randelovic_2021_hexaco60","case_mismatch"
"sv-maia2_randelovic_2021_maas","SV-MAIA2_Randelovic_2021_MAAS","case_mismatch"
"sv-maia2_randelovic_2021_maia","SV-MAIA2_Randelovic_2021_MAIA","case_mismatch"
"sv-maia2_randelovic_2021_shs","SV-MAIA2_Randelovic_2021_SHS","case_mismatch"
"vcism_polish_trzcinska_2023","VCISM_Polish_Trzcinska_2023","case_mismatch"
"veterans_affairs_ssvf_survey_2018-20","Veterans_Affairs_SSVF_Survey_2018-20","case_mismatch"
"fcv19s_hossain_2022__fear",NA,"no_matching_response_table"
