"table","section_id","item","instrument","instructions","section_prompt","item_text","resp"
"gilbert_meta_78","main","ppvt_128","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","beverage",1
"gilbert_meta_78","main","ppvt_128","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","beverage",0
"gilbert_meta_78","main","ppvt_093","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","bloom",0
"gilbert_meta_78","main","ppvt_093","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","bloom",1
"gilbert_meta_78","main","ppvt_104","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","boulder",0
"gilbert_meta_78","main","ppvt_104","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","boulder",1
"gilbert_meta_78","main","ppvt_052","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","branch",1
"gilbert_meta_78","main","ppvt_052","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","branch",0
"gilbert_meta_78","main","ppvt_056","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","buckle",0
"gilbert_meta_78","main","ppvt_056","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","buckle",1
"gilbert_meta_78","main","ppvt_010","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","bus",0
"gilbert_meta_78","main","ppvt_010","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","bus",1
"gilbert_meta_78","main","ppvt_066","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cactus",1
"gilbert_meta_78","main","ppvt_066","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cactus",0
"gilbert_meta_78","main","ppvt_055","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","calendar",1
"gilbert_meta_78","main","ppvt_055","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","calendar",0
"gilbert_meta_78","main","ppvt_106","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","canoe",0
"gilbert_meta_78","main","ppvt_106","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","canoe",1
"gilbert_meta_78","main","ppvt_156","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","carpenter",0
"gilbert_meta_78","main","ppvt_156","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","carpenter",1
"gilbert_meta_78","main","ppvt_019","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","carrot",1
"gilbert_meta_78","main","ppvt_019","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","carrot",0
"gilbert_meta_78","main","ppvt_034","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","castle",1
"gilbert_meta_78","main","ppvt_034","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","castle",0
"gilbert_meta_78","main","ppvt_089","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","catching",1
"gilbert_meta_78","main","ppvt_089","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","catching",0
"gilbert_meta_78","main","ppvt_177","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cerebral",0
"gilbert_meta_78","main","ppvt_177","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cerebral",1
"gilbert_meta_78","main","ppvt_077","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","chef",0
"gilbert_meta_78","main","ppvt_077","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","chef",1
"gilbert_meta_78","main","ppvt_081","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","chimney",0
"gilbert_meta_78","main","ppvt_081","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","chimney",1
"gilbert_meta_78","main","ppvt_151","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","citrus",1
"gilbert_meta_78","main","ppvt_151","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","citrus",0
"gilbert_meta_78","main","ppvt_143","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","clamp",0
"gilbert_meta_78","main","ppvt_143","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","clamp",1
"gilbert_meta_78","main","ppvt_118","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","clarinet",0
"gilbert_meta_78","main","ppvt_118","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","clarinet",1
"gilbert_meta_78","main","ppvt_069","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","claw",1
"gilbert_meta_78","main","ppvt_069","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","claw",0
"gilbert_meta_78","main","ppvt_137","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","coast",0
"gilbert_meta_78","main","ppvt_137","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","coast",1
"gilbert_meta_78","main","ppvt_041","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cobweb",1
"gilbert_meta_78","main","ppvt_041","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cobweb",0
"gilbert_meta_78","main","ppvt_163","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","constrained",0
"gilbert_meta_78","main","ppvt_163","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","constrained",1
"gilbert_meta_78","main","ppvt_167","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","consuming",0
"gilbert_meta_78","main","ppvt_167","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","consuming",1
"gilbert_meta_78","main","ppvt_014","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cookie",1
"gilbert_meta_78","main","ppvt_014","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cookie",0
"gilbert_meta_78","main","ppvt_173","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cornea",1
"gilbert_meta_78","main","ppvt_173","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cornea",0
"gilbert_meta_78","main","ppvt_008","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cup",0
"gilbert_meta_78","main","ppvt_008","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","cup",1
"gilbert_meta_78","main","ppvt_168","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","currency",1
"gilbert_meta_78","main","ppvt_168","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","currency",0
"gilbert_meta_78","main","ppvt_025","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dancing",0
"gilbert_meta_78","main","ppvt_025","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dancing",1
"gilbert_meta_78","main","ppvt_191","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dejected",0
"gilbert_meta_78","main","ppvt_191","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dejected",1
"gilbert_meta_78","main","ppvt_065","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","delivering",0
"gilbert_meta_78","main","ppvt_065","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","delivering",1
"gilbert_meta_78","main","ppvt_141","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","demolishing",0
"gilbert_meta_78","main","ppvt_141","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","demolishing",1
"gilbert_meta_78","main","ppvt_067","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dentist",0
"gilbert_meta_78","main","ppvt_067","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dentist",1
"gilbert_meta_78","main","ppvt_148","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","departing",1
"gilbert_meta_78","main","ppvt_148","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","departing",0
"gilbert_meta_78","main","ppvt_187","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","depleted",1
"gilbert_meta_78","main","ppvt_187","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","depleted",0
"gilbert_meta_78","main","ppvt_176","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","detonation",1
"gilbert_meta_78","main","ppvt_176","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","detonation",0
"gilbert_meta_78","main","ppvt_054","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","diamond",0
"gilbert_meta_78","main","ppvt_054","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","diamond",1
"gilbert_meta_78","main","ppvt_112","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","digital",1
"gilbert_meta_78","main","ppvt_112","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","digital",0
"gilbert_meta_78","main","ppvt_144","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dilapidated",1
"gilbert_meta_78","main","ppvt_144","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dilapidated",0
"gilbert_meta_78","main","ppvt_110","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","directing",0
"gilbert_meta_78","main","ppvt_110","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","directing",1
"gilbert_meta_78","main","ppvt_113","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dissecting",0
"gilbert_meta_78","main","ppvt_113","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dissecting",1
"gilbert_meta_78","main","ppvt_002","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dog",0
"gilbert_meta_78","main","ppvt_002","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dog",1
"gilbert_meta_78","main","ppvt_047","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dressing",1
"gilbert_meta_78","main","ppvt_047","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dressing",0
"gilbert_meta_78","main","ppvt_063","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dripping",0
"gilbert_meta_78","main","ppvt_063","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","dripping",1
"gilbert_meta_78","main","ppvt_015","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","drum",0
"gilbert_meta_78","main","ppvt_015","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","drum",1
"gilbert_meta_78","main","ppvt_005","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","duck",1
"gilbert_meta_78","main","ppvt_005","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","duck",0
"gilbert_meta_78","main","ppvt_009","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","eating",0
"gilbert_meta_78","main","ppvt_009","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","eating",1
"gilbert_meta_78","main","ppvt_042","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","elbow",0
"gilbert_meta_78","main","ppvt_042","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","elbow",1
"gilbert_meta_78","main","ppvt_031","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","empty",1
"gilbert_meta_78","main","ppvt_031","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","empty",0
"gilbert_meta_78","main","ppvt_053","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","envelope",1
"gilbert_meta_78","main","ppvt_053","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","envelope",0
"gilbert_meta_78","main","ppvt_037","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","farm",0
"gilbert_meta_78","main","ppvt_037","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","farm",1
"gilbert_meta_78","main","ppvt_040","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","feather",0
"gilbert_meta_78","main","ppvt_040","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","feather",1
"gilbert_meta_78","main","ppvt_149","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","feline",1
"gilbert_meta_78","main","ppvt_149","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","feline",0
"gilbert_meta_78","main","ppvt_030","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fence",0
"gilbert_meta_78","main","ppvt_030","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fence",1
"gilbert_meta_78","main","ppvt_139","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fern",0
"gilbert_meta_78","main","ppvt_139","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fern",1
"gilbert_meta_78","main","ppvt_033","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fire",0
"gilbert_meta_78","main","ppvt_033","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fire",1
"gilbert_meta_78","main","ppvt_099","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","flaming",0
"gilbert_meta_78","main","ppvt_099","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","flaming",1
"gilbert_meta_78","main","ppvt_080","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","flamingo",1
"gilbert_meta_78","main","ppvt_080","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","flamingo",0
"gilbert_meta_78","main","ppvt_068","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","floating",1
"gilbert_meta_78","main","ppvt_068","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","floating",0
"gilbert_meta_78","main","ppvt_152","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","florist",0
"gilbert_meta_78","main","ppvt_152","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","florist",1
"gilbert_meta_78","main","ppvt_011","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","flower",1
"gilbert_meta_78","main","ppvt_011","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","flower",0
"gilbert_meta_78","main","ppvt_023","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fly",0
"gilbert_meta_78","main","ppvt_023","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fly",1
"gilbert_meta_78","main","ppvt_004","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","foot",1
"gilbert_meta_78","main","ppvt_004","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","foot",0
"gilbert_meta_78","main","ppvt_044","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fountain",0
"gilbert_meta_78","main","ppvt_044","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fountain",1
"gilbert_meta_78","main","ppvt_124","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fragile",1
"gilbert_meta_78","main","ppvt_124","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","fragile",0
"gilbert_meta_78","main","ppvt_072","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","furry",0
"gilbert_meta_78","main","ppvt_072","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","furry",1
"gilbert_meta_78","main","ppvt_147","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","garment",1
"gilbert_meta_78","main","ppvt_147","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","garment",0
"gilbert_meta_78","main","ppvt_039","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","gift",0
"gilbert_meta_78","main","ppvt_039","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","gift",1
"gilbert_meta_78","main","ppvt_071","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","gigantic",1
"gilbert_meta_78","main","ppvt_071","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","gigantic",0
"gilbert_meta_78","main","ppvt_158","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","glider",0
"gilbert_meta_78","main","ppvt_158","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","glider",1
"gilbert_meta_78","main","ppvt_075","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","globe",0
"gilbert_meta_78","main","ppvt_075","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","globe",1
"gilbert_meta_78","main","ppvt_074","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","group",1
"gilbert_meta_78","main","ppvt_074","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","group",0
"gilbert_meta_78","main","ppvt_032","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","happy",1
"gilbert_meta_78","main","ppvt_032","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","happy",0
"gilbert_meta_78","main","ppvt_092","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","harp",0
"gilbert_meta_78","main","ppvt_092","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","harp",1
"gilbert_meta_78","main","ppvt_160","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hatchet",0
"gilbert_meta_78","main","ppvt_160","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hatchet",1
"gilbert_meta_78","main","ppvt_169","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hazardous",0
"gilbert_meta_78","main","ppvt_169","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hazardous",1
"gilbert_meta_78","main","ppvt_096","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","heart",1
"gilbert_meta_78","main","ppvt_096","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","heart",0
"gilbert_meta_78","main","ppvt_150","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hedge",1
"gilbert_meta_78","main","ppvt_150","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hedge",0
"gilbert_meta_78","main","ppvt_094","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","horrified",0
"gilbert_meta_78","main","ppvt_094","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","horrified",1
"gilbert_meta_78","main","ppvt_153","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hovering",0
"gilbert_meta_78","main","ppvt_153","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hovering",1
"gilbert_meta_78","main","ppvt_115","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hydrant",0
"gilbert_meta_78","main","ppvt_115","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hydrant",1
"gilbert_meta_78","main","ppvt_085","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hyena",0
"gilbert_meta_78","main","ppvt_085","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","hyena",1
"gilbert_meta_78","main","ppvt_190","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","incarcerating",1
"gilbert_meta_78","main","ppvt_190","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","incarcerating",0
"gilbert_meta_78","main","ppvt_129","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","inflated",0
"gilbert_meta_78","main","ppvt_129","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","inflated",1
"gilbert_meta_78","main","ppvt_133","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","inhaling",0
"gilbert_meta_78","main","ppvt_133","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","inhaling",1
"gilbert_meta_78","main","ppvt_138","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","injecting",0
"gilbert_meta_78","main","ppvt_138","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","injecting",1
"gilbert_meta_78","main","ppvt_146","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","interior",1
"gilbert_meta_78","main","ppvt_146","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","interior",0
"gilbert_meta_78","main","ppvt_121","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","interviewing",1
"gilbert_meta_78","main","ppvt_121","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","interviewing",0
"gilbert_meta_78","main","ppvt_142","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","isolation",1
"gilbert_meta_78","main","ppvt_142","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","isolation",0
"gilbert_meta_78","main","ppvt_043","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","juggling",1
"gilbert_meta_78","main","ppvt_043","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","juggling",0
"gilbert_meta_78","main","ppvt_018","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","jumping",0
"gilbert_meta_78","main","ppvt_018","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","jumping",1
"gilbert_meta_78","main","ppvt_027","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","kicking",0
"gilbert_meta_78","main","ppvt_027","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","kicking",1
"gilbert_meta_78","main","ppvt_120","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","kiwi",1
"gilbert_meta_78","main","ppvt_120","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","kiwi",0
"gilbert_meta_78","main","ppvt_064","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","knight",0
"gilbert_meta_78","main","ppvt_064","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","knight",1
"gilbert_meta_78","main","ppvt_028","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","lamp",0
"gilbert_meta_78","main","ppvt_028","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","lamp",1
"gilbert_meta_78","main","ppvt_134","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","links",1
"gilbert_meta_78","main","ppvt_134","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","links",0
"gilbert_meta_78","main","ppvt_109","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","luggage",0
"gilbert_meta_78","main","ppvt_109","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","luggage",1
"gilbert_meta_78","main","ppvt_140","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","mammal",1
"gilbert_meta_78","main","ppvt_140","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","mammal",0
"gilbert_meta_78","main","ppvt_189","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","maritime",0
"gilbert_meta_78","main","ppvt_189","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","maritime",1
"gilbert_meta_78","main","ppvt_012","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","mouth",0
"gilbert_meta_78","main","ppvt_012","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","mouth",1
"gilbert_meta_78","main","ppvt_045","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","net",1
"gilbert_meta_78","main","ppvt_045","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","net",0
"gilbert_meta_78","main","ppvt_024","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","painting",1
"gilbert_meta_78","main","ppvt_024","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","painting",0
"gilbert_meta_78","main","ppvt_117","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","palm",1
"gilbert_meta_78","main","ppvt_117","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","palm",0
"gilbert_meta_78","main","ppvt_058","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","panda",1
"gilbert_meta_78","main","ppvt_058","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","panda",0
"gilbert_meta_78","main","ppvt_165","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","parallelogram",0
"gilbert_meta_78","main","ppvt_165","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","parallelogram",1
"gilbert_meta_78","main","ppvt_122","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","pastry",1
"gilbert_meta_78","main","ppvt_122","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","pastry",0
"gilbert_meta_78","main","ppvt_145","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","pedestrian",1
"gilbert_meta_78","main","ppvt_145","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","pedestrian",0
"gilbert_meta_78","main","ppvt_049","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","peeking",0
"gilbert_meta_78","main","ppvt_049","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","peeking",1
"gilbert_meta_78","main","ppvt_013","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","pencil",1
"gilbert_meta_78","main","ppvt_013","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","pencil",0
"gilbert_meta_78","main","ppvt_038","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","penguin",0
"gilbert_meta_78","main","ppvt_038","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","penguin",1
"gilbert_meta_78","main","ppvt_174","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","peninsula",0
"gilbert_meta_78","main","ppvt_174","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","peninsula",1
"gilbert_meta_78","main","ppvt_170","Peabody Picture Vocabulary Test—Fourth Edition","NA","NA","pentagon",0
